state_id,panel,instance,policy,process_cap_seconds,executable_sha256,model_sha256,model_identity_match,status,certificate,certificate_class,false_certificate,evidence_complete,cap_respected,native_status,lower_bound,frozen_cutoff,final_incumbent_available,final_incumbent,verified_upper_bound,gap,gi_common_horizon,work,solver_time_seconds,process_time_seconds,nodes,simplex_iterations,average_iterations_per_node,peak_memory_gb,root_relaxation_bound_available,root_relaxation_bound,final_root_cut_bound_available,final_root_cut_bound,root_work,root_time_seconds,root_simplex_iterations,root_cut_count,first_incumbent_work,first_incumbent_time_seconds,model_build_seconds,model_read_seconds,original_rows,original_columns,original_nonzeros,presolved_rows,presolved_columns,presolved_nonzeros,continuous_variables,integer_variables,binary_variables,min_matrix,max_matrix,min_objective,max_objective,min_bound,max_bound,min_rhs,max_rhs,branch_priority_assignment_status,branch_priority_tiers,exact_duplicate_row_elimination,exact_duplicate_rows_omitted,failure_reason,artifact_dir
D1,development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,true,capped,False,certificate_rejected,False,True,True,TIME_LIMIT,0.041429449910554604,0.049468682614419446,False,0.049468682614419446,0.049468682614419446,0.1625115584040541,0.1972549236307863,665.1626748096018,297.7939999103546,298.0743028,5645,1022675,181.16474756421613,0.210931537,True,0.03178028,True,0.03278393326391182,18.288924836660055,8.555359,1041,81,-1,-1,0.1948406,0.0411264,16049,1404,164344,14760,1332,185017,676,728,608,0.0225,100000,0.0225,1,0.0494687,157.287,0.0494687,1.2004e+06,default_no_assignment,all:all:p0=0,true,0,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D1__c1-exact-duplicate-elimination
D2,development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,97a6888dae2674b44f949a492c3510855b2ede4415dfef520c1fb71035b1b5df,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.5045438521629313,0.5045438521642074,True,0.5045438521642074,0.5045438521642074,2.529196102638948e-12,0.004721703309449519,7.798188966746495,5.236999988555908,5.3340398,1021,79777,78.13614103819785,0.019101873,True,0.2073784,True,0.33424062081873596,2.045220765002505,1.556934,975,745,2.8173608017334764,2.0267121,0.0535421,0.0111133,5716,1037,41148,1833,753,10601,492,545,445,0.0225,100000,0.0225,1,0.504544,74.7538,0.504544,998393,default_no_assignment,all:all:p0=0,true,3,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D2__c1-exact-duplicate-elimination
D3,development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.5063433075652057,0.506422789224163,True,0.506343307565206,0.506343307565206,4.3852580177814796e-16,0.11524260383793589,349.01793759503596,184.30100011825562,184.584506,20399,1022267,50.11358399921565,0.149551771,True,0.109524,True,0.3416849343544502,8.373309807405313,5.0291872,1750,1125,100.64865471779879,54.8044072,0.198877,0.041785,16042,1402,163775,6654,1351,85126,675,727,607,0.0225,100000,0.0225,1,0.506423,139.549,0.366412,1.19925e+06,default_no_assignment,all:all:p0=0,true,0,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D3__c1-exact-duplicate-elimination
D4,development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.506343307565206,0.506422789224163,True,0.506343307565206,0.506343307565206,0,0.04222544337669963,129.52841701703966,69.85999989509583,70.1380798,8604,374941,43.57752208275221,0.112288297,True,0.1102857,True,0.38053157659467485,7.784479710399424,4.5421557,1617,879,42.58309267055441,25.0220181,0.1938335,0.0414788,16042,1402,163775,6655,1351,82370,675,727,607,0.0225,100000,0.0225,1,0.253211,139.549,0.253211,1.19925e+06,default_no_assignment,all:all:p0=0,true,0,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D4__c1-exact-duplicate-elimination
D5,development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.506422789224163,False,0.506422789224163,0.506422789224163,0,0.0019958364652241088,8.361526207009655,4.8450000286102295,5.1244765,47,13586,289.06382978723406,0.06666984,True,0.3348914,True,0.494372975844265,6.5746066330905775,4.0606006,1962,381,-1,-1,0.1964763,0.0412654,16042,1402,163921,6729,1364,85415,675,727,607,0.0225,100000,0.0225,1,0.253211,139.549,0.253211,1.19925e+06,default_no_assignment,all:all:p0=0,true,0,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D5__c1-exact-duplicate-elimination
D6,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,d76040004db2f4a7faf7494dcc377e6912bee1998c2b6776398348040fdbde97,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.7062530985290745,0.7062530985290749,True,0.7062530985290749,0.7062530985290749,6.287961224877803e-16,0.0037419629674909395,9.501638584779403,6.226000070571899,6.420717,882,47000,53.28798185941043,0.03591902,True,0.3821215,True,0.5929376888262344,3.157941488451181,2.4299917,836,640,4.749954909166714,3.5154382,0.1302175,0.0273004,10919,1014,109431,3488,886,28878,505,509,425,0.0225,100000,0.0225,1,0.706253,173.332,0.629427,1.19889e+06,default_no_assignment,all:all:p0=0,true,2,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D6__c1-exact-duplicate-elimination
D7,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,cf8e35f43aeb95fbf97211aa34572a46de2b43a91598235ea35af625efb87dcf,true,exact,True,strict_fixed_interval_optimal,False,True,True,OPTIMAL,0.7062530985290766,0.7062530985290749,True,0.7062530985290749,0.7062530985290749,0,0.0025220112751936576,5.4247573330185235,3.825000047683716,4.0236728,455,21607,47.487912087912086,0.033969314,True,0.3855621,True,0.6040145105561588,2.843407799083686,2.2725718,1018,452,3.4445999179903386,2.6345278,0.1309883,0.0277317,10919,1014,109431,3488,885,28734,505,509,425,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,default_no_assignment,all:all:p0=0,true,2,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D7__c1-exact-duplicate-elimination
D8,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,9a1173de87fd4ed0e5e5ff73a34d7e3ed151b29cc661b1dcce660ac487595df6,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.7062530985290749,False,0.7062530985290749,0.7062530985290749,0,0.0008225935730976526,0.6099454963255343,0.43400001525878906,0.6284263,1,1024,1024,0.025356671,True,0.6608365,True,0.6608364563256461,0.5859417014498166,0.4240688,838,205,-1,-1,0.1318045,0.0278781,10919,1014,109573,3535,875,28839,505,509,425,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,default_no_assignment,all:all:p0=0,true,2,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D8__c1-exact-duplicate-elimination
D9,development,tight_T_seed3102,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,e10899f55d18ea936457cff4bcc2d36c2f74db8e8db8a279b6236b5966bf0c66,true,capped,False,certificate_rejected,False,True,True,TIME_LIMIT,0.5449853276686083,0.6007044366851081,False,0.6007044366851081,0.6007044366851081,0.09275628014997997,0.11470782345984347,645.0567355070444,297.9130001068115,298.0487851,1585,1368344,863.3085173501577,0.161634798,True,0.4426226,True,0.5189954800020847,34.5180992391837,15.2996339,3842,557,-1,-1,0.0793309,0.0173071,10864,3372,53459,9848,3127,77827,1682,1690,1490,0.0075,15554.8,0.0075,1,0.300352,1967.6,0.300352,49109.5,default_no_assignment,all:all:p0=0,true,6,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D9__c1-exact-duplicate-elimination
D10,development,tight_T_seed3102,c1-exact-duplicate-elimination,300,c847cf26a11da3e8d43a26f8c74afeb6625ee2a29628aaec06ab27f0b2dc65dd,7878655baaaa21cf3521fe940149f92e596cc07ae9a59498dd209b6ce780e601,true,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,INFEASIBLE,1e+100,0.6007044366851081,False,0.6007044366851081,0.6007044366851081,0,0.01476886619186014,199.3055785202912,99.20899987220764,99.3442224,802,264564,329.8802992518703,0.146987535,True,0.4640361,True,0.5706315722744337,26.61360454233943,12.7459708,3719,504,-1,-1,0.0793412,0.0174021,10864,3372,53459,9847,3126,79079,1682,1690,1490,0.0075,15554.8,0.0075,1,0.150176,1967.6,0.150176,49109.5,default_no_assignment,all:all:p0=0,true,6,none,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration2_qualification_c1_300s/D10__c1-exact-duplicate-elimination
