state_id,baseline_policy,cumulative_policy,accepted_factor_count,baseline_certificate,cumulative_certificate,baseline_work,cumulative_work,baseline_process_seconds,cumulative_process_seconds,baseline_gi,cumulative_gi,equivalent
D1,Interval-MIP-v0,Interval-MIP-vNext,0,False,False,662.1260379979603,662.1260379979603,298.0756024,298.0756024,0.19745440160819433,0.19745440160819433,True
D2,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,7.798190809248318,7.798190809248318,5.1983789,5.1983789,0.004648875003071691,0.004648875003071691,True
D3,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,349.01793759503596,349.01793759503596,185.2447274,185.2447274,0.11565079694516288,0.11565079694516288,True
D4,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,129.52841701703966,129.52841701703966,70.2772556,70.2772556,0.04240253833360488,0.04240253833360488,True
D5,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,8.361526207009655,8.361526207009655,5.1172128,5.1172128,0.0019977823012847775,0.0019977823012847775,True
D6,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,9.501641712092052,9.501641712092052,6.4306341,6.4306341,0.0037263203726633173,0.0037263203726633173,True
D7,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,5.424760527933533,5.424760527933533,4.0714507,4.0714507,0.0025441215086999423,0.0025441215086999423,True
D8,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,0.6099470937080658,0.6099470937080658,0.6347924,0.6347924,0.0008194470476225562,0.0008194470476225562,True
D9,Interval-MIP-v0,Interval-MIP-vNext,0,False,False,644.2222163634377,644.2222163634377,298.0486784,298.0486784,0.11474118970400136,0.11474118970400136,True
D10,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,199.30559044359478,199.30559044359478,99.6161006,99.6161006,0.014806784332680675,0.014806784332680675,True
D11,Interval-MIP-v0,Interval-MIP-vNext,0,False,False,628.2285017831415,628.2285017831415,298.0490025,298.0490025,0.04304791033487917,0.04304791033487917,True
D12,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,257.2047290551788,257.2047290551788,126.5155508,126.5155508,0.107557054834137,0.107557054834137,True
D13,Interval-MIP-v0,Interval-MIP-vNext,0,True,True,469.8380750590921,469.8380750590921,243.7600733,243.7600733,0.018371349049764178,0.018371349049764178,True
D14,Interval-MIP-v0,Interval-MIP-vNext,0,False,False,642.7223441684196,642.7223441684196,298.047931,298.047931,0.082168105325784,0.082168105325784,True
