state_id,panel,instance,input_sha256,interval_id,parent_id,gamma_lower,gamma_upper,split_depth,verified_cutoff,cutoff_reconstruction_verified,route_time_limit,route_time_limit_source,cutoff_resolution_path,cutoff_resolution_sha256,canonical_model_fingerprint,row_bound_signature,original_variable_mapping_sha256,original_rows,original_columns,original_nonzeros,mapped_variable_count,typed_variable_count,semantic_family_counts,objective_sense,formulation_profile,selection_rule,reconstruction_status,experiment_executable_sha256,model_artifact_path,completion_marker,failure_reason
D1,development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,L0,,0,0.049468682614419446,0,0.049468682614419446,true,2850,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D1_T2850/cutoff_resolution.json,b8cd137022f125fdd56d2cee14cf8ace7528ba9c4d17aa0ec191615aa68e21d2,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,a087f36bc48d2aeea1ae70e71f6c29ca7c03292fdab34c39efbd31e433a489ec,16049,1404,164344,1404,728,auxiliary:B=68;auxiliary:C=676;auxiliary:I=12;drop_quantity:I=36;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,minimize,Interval-MIP-v0-paper-safe,explicit K1 root,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D1/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D1/completion_marker.json,none
D2,development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,L0,,0,0.50454385216420738,0,0.50454385216420738,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D2_T2400/cutoff_resolution.json,9a4899b18a2572b9ed27ef75b64e005bac2159051fc92c6d608352c436b991b0,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,0e5880563fac2a45cc348cf375df44619efd49d66b434cc9385cd51b7e536d6e,5719,1037,41151,1037,545,auxiliary:B=55;auxiliary:C=492;auxiliary:I=10;drop_quantity:I=30;operation_mode:B=30;pickup_quantity:I=30;routing_arc:B=330;vehicle_load:I=30;visit_selection:B=30,minimize,Interval-MIP-v0-paper-safe,explicit K1 root,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D2/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D2/completion_marker.json,none
D3,development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,L0,,0,0.50642278922416295,0,0.50642278922416295,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D3_T2400/cutoff_resolution.json,2d6b87256166976236abb99b1bb023eb05482fe2954ad387e0388c088a7d3642,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,d02319f4f3529b32571db581f6a87dfbf6a50fc63a838b3fd680a4c89a38b253,16042,1402,163775,1402,727,auxiliary:B=67;auxiliary:C=675;auxiliary:I=12;drop_quantity:I=36;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,minimize,Interval-MIP-v0-paper-safe,explicit K1 root,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D3/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D3/completion_marker.json,none
D4,development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,L0.0,L0,0,0.25321139461208148,1,0.50642278922416295,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D3_T2400/cutoff_resolution.json,2d6b87256166976236abb99b1bb023eb05482fe2954ad387e0388c088a7d3642,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,d02319f4f3529b32571db581f6a87dfbf6a50fc63a838b3fd680a4c89a38b253,16042,1402,163775,1402,727,auxiliary:B=67;auxiliary:C=675;auxiliary:I=12;drop_quantity:I=36;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,minimize,Interval-MIP-v0-paper-safe,exact midpoint child of D3,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D4/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D4/completion_marker.json,none
D5,development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,L0.1,L0,0.25321139461208148,0.50642278922416295,1,0.50642278922416295,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D3_T2400/cutoff_resolution.json,2d6b87256166976236abb99b1bb023eb05482fe2954ad387e0388c088a7d3642,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,d02319f4f3529b32571db581f6a87dfbf6a50fc63a838b3fd680a4c89a38b253,16042,1402,163921,1402,727,auxiliary:B=67;auxiliary:C=675;auxiliary:I=12;drop_quantity:I=36;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,minimize,Interval-MIP-v0-paper-safe,exact midpoint child of D3,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D5/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D5/completion_marker.json,none
D6,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,efb62df9be5433dfb5d2def59ee52399bfe10fb2bcc652954892def33e38b2fd,L0,,0,0.70625309852907492,0,0.70625309852907492,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D6_T2400/cutoff_resolution.json,06d069eda1298953ecafecb2a52548767ef1f9ffb543506a31f2e5e45c277fa1,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,65d81c453e70284470da3e20ed23f6bae4814fad05b3343651a5a4d4b22ac589,10921,1014,109433,1014,509,auxiliary:B=65;auxiliary:C=505;auxiliary:I=12;drop_quantity:I=24;operation_mode:B=24;pickup_quantity:I=24;routing_arc:B=312;vehicle_load:I=24;visit_selection:B=24,minimize,Interval-MIP-v0-paper-safe,explicit K1 root,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D6/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D6/completion_marker.json,none
D7,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,efb62df9be5433dfb5d2def59ee52399bfe10fb2bcc652954892def33e38b2fd,L0.0,L0,0,0.35312654926453746,1,0.70625309852907492,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D6_T2400/cutoff_resolution.json,06d069eda1298953ecafecb2a52548767ef1f9ffb543506a31f2e5e45c277fa1,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,65d81c453e70284470da3e20ed23f6bae4814fad05b3343651a5a4d4b22ac589,10921,1014,109433,1014,509,auxiliary:B=65;auxiliary:C=505;auxiliary:I=12;drop_quantity:I=24;operation_mode:B=24;pickup_quantity:I=24;routing_arc:B=312;vehicle_load:I=24;visit_selection:B=24,minimize,Interval-MIP-v0-paper-safe,exact midpoint child of D6,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D7/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D7/completion_marker.json,none
D8,development,round39_small_hard_V12_M2_Q20_slot06_seed258908503,efb62df9be5433dfb5d2def59ee52399bfe10fb2bcc652954892def33e38b2fd,L0.1,L0,0.35312654926453746,0.70625309852907492,1,0.70625309852907492,true,2400,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D6_T2400/cutoff_resolution.json,06d069eda1298953ecafecb2a52548767ef1f9ffb543506a31f2e5e45c277fa1,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,65d81c453e70284470da3e20ed23f6bae4814fad05b3343651a5a4d4b22ac589,10921,1014,109575,1014,509,auxiliary:B=65;auxiliary:C=505;auxiliary:I=12;drop_quantity:I=24;operation_mode:B=24;pickup_quantity:I=24;routing_arc:B=312;vehicle_load:I=24;visit_selection:B=24,minimize,Interval-MIP-v0-paper-safe,exact midpoint child of D6,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D8/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D8/completion_marker.json,none
D9,development,tight_T_seed3102,40689df814199ae10f66c5bbfe492fcafdbbabc1a221c6724e939d02758a9f14,L0.0,L0,0,0.30035221834255404,1,0.60070443668510809,true,3600,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__tight_T_seed3102__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D9_T3600/cutoff_resolution.json,901d56c8dbaf21e6a9da7a8e5e641f84c5a8240fe22fafab26e31661ffbcf4cc,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,2815571bd3fb35007229130324e324d200f884a4443a3acc362fbc47d064ddc6,10870,3372,53465,3372,1690,auxiliary:B=110;auxiliary:C=1682;auxiliary:I=20;drop_quantity:I=60;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,minimize,Interval-MIP-v0-paper-safe,explicit historical K1-AM L0.0,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D9/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D9/completion_marker.json,none
D10,development,tight_T_seed3102,40689df814199ae10f66c5bbfe492fcafdbbabc1a221c6724e939d02758a9f14,L0.0.0,L0.0,0,0.15017610917127702,2,0.60070443668510809,true,3600,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__tight_T_seed3102__K1-AM/command.json,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/cutoff_D9_T3600/cutoff_resolution.json,901d56c8dbaf21e6a9da7a8e5e641f84c5a8240fe22fafab26e31661ffbcf4cc,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,2815571bd3fb35007229130324e324d200f884a4443a3acc362fbc47d064ddc6,10870,3372,53465,3372,1690,auxiliary:B=110;auxiliary:C=1682;auxiliary:I=20;drop_quantity:I=60;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,minimize,Interval-MIP-v0-paper-safe,exact midpoint child of D9,complete,48337cfb5ced1ebe484d4d6ea8446ed903cc6fdce5ec9a50c6e64abad124b11b,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D10/canonical_model.lp,results/gf_k1_interval_mip_vnext_round50/state_reconstruction/models/D10/completion_marker.json,none
