state_id,instance,status,principal_bottlenecks,root_cut_relative_gap,root_work_fraction,root_cut_count,nodes,simplex_iterations,iterations_per_node,first_incumbent_time_seconds,work,process_time_seconds,final_gap,gi_300,numerical_warning_count,model_build_fraction,classification_basis
D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,capped,weak root bound;excessive node count;high iterations per node;delayed incumbent,0.33727903127228726,0.028633691351559534,81,5396,976333,180.93643439584878,-1,638.7204713535458,300.0770912,0.16380354690641175,0.19859310841613492,0,0.00076387903882747321,root+tree+incumbent+native_log+build telemetry
D2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,exact,unknown,0.33753900798705011,0.26226885921780502,745,1021,79777,78.13614103819785,2.0472341,7.798190809248318,5.3426207,2.529196102638948e-12,0.004767276713924822,0,0.010797322744622315,root+tree+incumbent+native_log+build telemetry
D3,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,exact,weak root bound;excessive node count,0.32529708057192747,0.023991058640432484,1125,20399,1022267,50.11358399921565,56.5638149,349.01793759503596,193.1694463,0.00015694723983290714,0.11992114387152633,0,0.0010461400799697794,root+tree+incumbent+native_log+build telemetry
D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,exact,weak root bound;excessive node count,0.24858915378265811,0.060098624608184346,879,8604,374941,43.57752208275221,25.6265619,129.52841701703966,72.6217363,0.0001569472398324687,0.043573681414870308,0,0.0027407455417724574,root+tree+incumbent+native_log+build telemetry
D5,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,exact,unknown,0.023793979331692829,0.78629265403473081,381,47,13586,289.06382978723406,-1,8.361526207009655,5.2641901,0,0.0020616973272512542,0,0.038198677513564712,root+tree+incumbent+native_log+build telemetry
D6,round39_small_hard_V12_M2_Q20_slot06_seed258908503,exact,unknown,0.16044589388541355,0.33235778736478178,640,882,47000,53.28798185941043,3.5742703,9.501641712092052,6.5751819,6.287961224877803e-16,0.0038197859690577273,0,0.020356623137680802,root+tree+incumbent+native_log+build telemetry
D7,round39_small_hard_V12_M2_Q20_slot06_seed258908503,exact,unknown,0.14476196732566565,0.5241541961819729,452,455,21607,47.487912087912086,2.6976679,5.424760527933533,4.1663093,0,0.0025827932271131021,0,0.033126561198900908,root+tree+incumbent+native_log+build telemetry
D8,round39_small_hard_V12_M2_Q20_slot06_seed258908503,exact,unknown,0.064306467890928587,0.96064610336973499,205,1,1024,1024,-1,0.6099470937080658,0.6404337,0,0.0008374045125548224,0,0.21130259072875149,root+tree+incumbent+native_log+build telemetry
D9,tight_T_seed3102,capped,expensive root LP;high iterations per node;delayed incumbent,0.13602189644864493,0.054371100245058819,557,1536,1345848,876.203125,-1,634.615361293165,300.0497305,0.0930617446178607,0.1152224318781765,0,0.00027962131430742945,root+tree+incumbent+native_log+build telemetry
D10,tight_T_seed3102,exact,expensive root LP;high iterations per node;delayed incumbent,0.050062664055931863,0.13353171080855825,504,802,264564,329.8802992518703,-1,199.30559044359478,101.9570697,0,0.015153327389087371,0,0.00081204471885680323,root+tree+incumbent+native_log+build telemetry
D11,tight_T_seed3102,capped,expensive root LP;excessive root cuts;high iterations per node;delayed incumbent,0.059784561381087571,0.085910461055548407,1500,3990,1789662,448.53684210526313,109.5346898,616.0552248325956,300.0495597,0.016455984681793795,0.043735100870976783,0,0.00027969279502995388,root+tree+incumbent+native_log+build telemetry
D12,round39_small_hard_V12_M3_Q20_slot07_seed621538683,exact,weak root bound;excessive node count,0.42426481012393941,0.038697558678994028,1070,8546,687516,80.448864966066,36.9719836,257.2047290551788,130.5649925,6.316677466488924e-09,0.11043308094293314,0,0.0015252066896875134,root+tree+incumbent+native_log+build telemetry
D13,high_imbalance_seed3201,exact,excessive root cuts;excessive node count;delayed incumbent,0.038407561389859561,0.042179730882809269,1523,14010,1335194,95.30292648108494,100.5308399,469.8380750590921,253.73306,0,0.0189129806977416,0,0.0003252122525933357,root+tree+incumbent+native_log+build telemetry
D14,moderate_seed3301,capped,expensive root LP;excessive node count;high iterations per node;delayed incumbent,0.15853556863261029,0.032335518641080536,505,6314,2672054,423.1951219512195,157.1980313,625.3508847754887,300.0479429,0.018332117946476566,0.084667822828239092,0,0.00027329099212431226,root+tree+incumbent+native_log+build telemetry
