phase,state_id,instance,policy,process_cap_seconds,executable_sha256,model_identity_match,branch_priority_assignment_status,branch_priority_tiers,status,certificate,false_certificate,work,process_time_seconds,nodes,root_work,root_relaxation_bound,final_root_cut_bound,lower_bound,verified_upper_bound,gap,gi_common_horizon,baseline_certificate,baseline_work,work_ratio,work_delta,baseline_gi,gi_delta,baseline_gap,gap_delta,severe_regression,severe_regression_reason,evidence_complete,cap_respected,artifact_dir
core_120s,D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,capped,False,False,263.04015268873997,118.0752962,2451,18.288924836660055,0.03178028,0.03278393326391182,0.040657906195053745,0.049468682614419446,0.1781081677076535,0.24137685325776784,False,263.04015268873997,1,0,0.24137685325776784,0,0.1781081677076535,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D1__interval-mip-v0
core_120s,D2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,exact,True,False,7.798190809248318,5.1906105,1021,2.045222607504328,0.2073784,0.33424062081873596,0.5045438521629313,0.5045438521642074,2.529196102638948e-12,0.011619110832187623,True,7.798190809248318,1,0,0.011619110832187623,0,2.529196102638948e-12,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D2__interval-mip-v0
core_120s,D3,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,capped,False,False,237.64359339385058,118.0742138,9040,8.373309807405313,0.109524,0.3416849343544502,0.4443553845119951,0.506422789224163,0.12256044955491599,0.24196189606295887,False,237.64359339385058,1,0,0.24196189606295887,0,0.12256044955491599,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D3__interval-mip-v0
core_120s,D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,exact,True,False,129.52841701703966,69.9835845,8604,7.784479710399424,0.1102857,0.38053157659467485,0.506343307565206,0.506343307565206,0,0.10558597778663069,True,129.52841701703966,1,0,0.10558597778663069,0,0,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D4__interval-mip-v0
core_120s,D5,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,exact,True,False,8.361526207009655,5.1211029,47,6.5746066330905775,0.3348914,0.494372975844265,1e+100,0.506422789224163,0,0.004995310638357818,True,8.361526207009655,1,0,0.004995310638357818,0,0,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D5__interval-mip-v0
core_120s,D6,round39_small_hard_V12_M2_Q20_slot06_seed258908503,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,exact,True,False,9.501641712092052,6.4202879,882,3.157944615763831,0.3821215,0.5929376888262344,0.7062530985290745,0.7062530985290749,6.287961224877803e-16,0.009326959795093012,True,9.501641712092052,1,0,0.009326959795093012,0,6.287961224877803e-16,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D6__interval-mip-v0
core_120s,D9,tight_T_seed3102,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,capped,False,False,237.67130171848729,118.0453343,619,34.51813716096647,0.4426226,0.5189954800020847,0.5316755920118946,0.6007044366851081,0.11491315938024058,0.128450555187971,False,237.67130171848729,1,0,0.128450555187971,0,0.11491315938024058,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D9__interval-mip-v0
core_120s,D10,tight_T_seed3102,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,exact,True,False,199.30559044359478,99.488987,802,26.613616465643048,0.4640361,0.5706315722744337,1e+100,0.6007044366851081,0,0.036952580108461155,True,199.30559044359478,1,0,0.036952580108461155,0,0,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D10__interval-mip-v0
core_120s,D11,tight_T_seed3102,interval-mip-v0,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,default_no_assignment,all:all:p0=0,capped,False,False,234.89130734957772,118.0499459,678,52.925588401047825,0.5137004,0.5647915854182156,0.5679142786163833,0.6007044366851081,0.054586175939821645,0.059874489673099426,False,234.89130734957772,1,0,0.059874489673099426,0,0.054586175939821645,0,false,baseline,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_v0_120s/D11__interval-mip-v0
core_120s,D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,b1-primitive-first,120,ae3c1f3288402770d49c2597649ad4d8847006b7977625380bb7138226000c9a,true,applied,auxiliary:B:p1=68;drop_quantity:I:p2=36;final_inventory:I:p2=12;operation_mode:B:p2=36;pickup_quantity:I:p2=36;routing_arc:B:p2=468;vehicle_load:I:p2=36;visit_selection:B:p2=36,capped,False,False,259.88783870469797,118.0764508,2183,18.29167117566,0.03178028,0.03278393326391182,0.0371212146766175,0.049468682614419446,0.24960171335152614,0.2658283779010045,False,263.04015268873997,0.98801584491257433,-3.1523139840419958,0.24137685325776784,0.024451524643236661,0.1781081677076535,0.071493545643872641,false,none,True,True,results/gf_k1_interval_mip_vnext_round50/development_runs/iteration1_corrected_core_b1_120s/D1__b1-primitive-first
