state_id,panel,model_sha256,min_matrix,max_matrix,min_objective,max_objective,min_bound,max_bound,min_rhs,max_rhs,v0_ranges_equal,native_status,numerical_warning,materially_worsened
D1,development,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,0.0225,100000,0.0225,1,0.0494687,157.287,0.0494687,1.2004e+06,True,TIME_LIMIT,none_observed,False
D2,development,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,0.0225,100000,0.0225,1,0.504544,74.7538,0.504544,998393,True,OPTIMAL,none_observed,False
D3,development,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,0.0225,100000,0.0225,1,0.506423,139.549,0.366412,1.19925e+06,True,OPTIMAL,none_observed,False
D4,development,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,0.0225,100000,0.0225,1,0.253211,139.549,0.253211,1.19925e+06,True,OPTIMAL,none_observed,False
D5,development,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,0.0225,100000,0.0225,1,0.253211,139.549,0.253211,1.19925e+06,True,INFEASIBLE,none_observed,False
D6,development,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,0.0225,100000,0.0225,1,0.706253,173.332,0.629427,1.19889e+06,True,OPTIMAL,none_observed,False
D7,development,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,True,OPTIMAL,none_observed,False
D8,development,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,0.0225,100000,0.0225,1,0.353127,173.332,0.353127,1.19889e+06,True,INFEASIBLE,none_observed,False
D9,development,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,0.0075,15554.8,0.0075,1,0.300352,1967.6,0.300352,49109.5,True,TIME_LIMIT,none_observed,False
D10,development,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,0.0075,15554.8,0.0075,1,0.150176,1967.6,0.150176,49109.5,True,INFEASIBLE,none_observed,False
D11,development,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,0.0075,15554.8,0.0075,1,0.150176,1967.6,0.150176,49109.5,True,OPTIMAL,none_observed,False
D12,development,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,0.0225,100000,0.0225,1,0.647116,139.984,0.27224,1.19901e+06,True,OPTIMAL,none_observed,False
D13,development,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,0.0122501,15752.4,0.0122501,1,0.475,2861.24,0.475,49504.7,True,OPTIMAL,none_observed,False
D14,development,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,0.0075,14743,0.0075,1,0.0245763,1430.13,0.0245763,46586.3,True,TIME_LIMIT,none_observed,False
C1,confirmation,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,0.0225,100000,0.0225,1,0.323558,139.984,0.27224,1.19901e+06,True,OPTIMAL,none_observed,False
C2,confirmation,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,0.0225,100000,0.0225,1,0.323558,139.984,0.27224,1.19901e+06,True,INFEASIBLE,none_observed,False
C3,confirmation,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,0.0075,15286.8,0.0075,1,0.107253,3442.65,0.107253,48213.6,True,TIME_LIMIT,none_observed,False
C4,confirmation,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,0.0142565,15371.8,0.0142565,1,0.475,2369.78,0.475,48743.6,True,OPTIMAL,none_observed,False
C5,confirmation,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,0.0075,14299,0.0075,1,0.195636,546.205,0.195636,45518.1,True,TIME_LIMIT,none_observed,False
C6,confirmation,fb6fb2c22fa7f358b6d48d7057bddf3842869ffd20f18c76685f33eb2fd006fc,0.0434783,100000,0.0697222,1,0.921663,103.864,0.921663,998665,True,OPTIMAL,none_observed,False
C7,confirmation,b418bcbdd64fab3d5023335fe6dcd118a9d6d8321d5ff6e6550df8b0c91076f3,0.0225,100000,0.0225,1,0.407172,162.286,0.0863961,1.19941e+06,True,OPTIMAL,none_observed,False
C8,confirmation,904467263099424dd3d9f92352c558a2aa684583d24bc521eb1b2d1b27b57157,0.0225,100000,0.0225,1,0.316977,98.6199,0.316977,1.00025e+06,True,OPTIMAL,none_observed,False
C9,confirmation,f2ff779a6a82a41c9720b614664bc01969711ccfaae53f233965b59c26ddf2ce,0.0225,100000,0.0225,1,0.0233979,87.9546,0.0233979,800256,True,OPTIMAL,none_observed,False
