path,storage_class,file_count,size_bytes,aggregate_sha256,reproduction_scope
results/gf_k1_interval_mip_vnext_round50/counterfactual_runs,local_raw_untracked,736,187544849,39306f45fe528d6a2623cb5b3a2d6219f022f4c615edbf0d2eb630ceec293dc5,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_c1_build_D2,local_raw_untracked,16,698380,3c14b386227882bf62e1fcbc8923221c164613a97631cac2e7d7bae64e888adb,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_registry_correction_smoke,local_raw_untracked,18,734385,9bd1e27cf8024afba8d8ea763bc642733f93d73824217f807dc9ca04fe45bbc8,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_runner_smoke,local_raw_untracked,18,729401,98d69b0cfeb6bcd1491095fbaf7a1a7c3a2983f31a9c353091ac743a89dd2d36,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_runner_smoke_v2,local_raw_untracked,18,729482,d1ffc164758529610a7ffdfefab850c45d282fecd5d7f165671b3198f2de05de,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_s1_build_D2_s1,local_raw_untracked,16,698831,d0068d4139de77dc38f771d0a88b7f2d9cbe722d838e0d7bdeed75c1c0d03507,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_s1_build_D2_v0,local_raw_untracked,16,698651,a1ba0adb8f815a38595f5f1315e7975f303faa5423822efe6e5982b481992a87,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/dev_smoke,local_raw_untracked,18,728942,657e16d105a15fbb4c7de02913b78705e1feacb41db2b2eec3d12db3e8368e55,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/development_runs,local_raw_untracked,4716,508571553,1942056e1f98093e7635d4d45b7678de05cb7715155e05bc60e3908fb76b3ea3,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/official_confirmation,local_raw_untracked,429,40765685,696590ab7efdd0897ce655d69a3618635737d3516eec890ddc750d06d701a662,round50 fixed/counterfactual evidence
results/gf_k1_interval_mip_vnext_round50/state_reconstruction,local_raw_untracked,468,38328286,6c74b92d28228ba153d0d8a79f6bb97e1e1acfe137b1bed1ee34d0da8a7be326,round50 fixed/counterfactual evidence
build/official-round50-fe793b20e/Round50IntervalMipExperiment.exe,local_build_binary,1,2961146,85a6404acb015ea71e1b56a656f85665cda46b1f72a29a7174e6f48d96f8e81a,official_fixed_state_executable
build/official-round50-fe793b20e/ExactEBRP.exe,local_build_binary,1,6039378,7cc8ecb324c69526b38f21a8d66cdc4ca6ab6de0cd03639f916f25340d097a2e,official_full_solver_executable
