state_id,canonical_model_fingerprint,mapped_variable_count,corrected_original_variable_mapping_sha256,semantic_family_counts,canonical_final_inventory_prefix,semantic_registry_complete,state_identity_changed,model_fingerprint_changed
D1,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,1404,68760ad4f7b6328131eb3607fbcbbbe60fefeb4becf7751d92c5ebc7114c0ff9,auxiliary:B=68;auxiliary:C=676;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
D2,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,1037,a1a60b0033a90f58ca18009cf70294b4160c0755b752f70cb0e39cfc696c7d90,auxiliary:B=55;auxiliary:C=492;drop_quantity:I=30;final_inventory:I=10;operation_mode:B=30;pickup_quantity:I=30;routing_arc:B=330;vehicle_load:I=30;visit_selection:B=30,Y_,true,false,false
D3,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,1402,30ab13a093c117de0e708863ed7039ebc3abb78b1903aca0820ee9c1f8318ac3,auxiliary:B=67;auxiliary:C=675;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
D4,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,1402,30ab13a093c117de0e708863ed7039ebc3abb78b1903aca0820ee9c1f8318ac3,auxiliary:B=67;auxiliary:C=675;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
D5,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,1402,30ab13a093c117de0e708863ed7039ebc3abb78b1903aca0820ee9c1f8318ac3,auxiliary:B=67;auxiliary:C=675;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
D6,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,1014,14f73ca8c7b69a6d21ce3d754e421e4b83b049bb3458a98b481ae0e3d4a75244,auxiliary:B=65;auxiliary:C=505;drop_quantity:I=24;final_inventory:I=12;operation_mode:B=24;pickup_quantity:I=24;routing_arc:B=312;vehicle_load:I=24;visit_selection:B=24,Y_,true,false,false
D7,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,1014,14f73ca8c7b69a6d21ce3d754e421e4b83b049bb3458a98b481ae0e3d4a75244,auxiliary:B=65;auxiliary:C=505;drop_quantity:I=24;final_inventory:I=12;operation_mode:B=24;pickup_quantity:I=24;routing_arc:B=312;vehicle_load:I=24;visit_selection:B=24,Y_,true,false,false
D8,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,1014,14f73ca8c7b69a6d21ce3d754e421e4b83b049bb3458a98b481ae0e3d4a75244,auxiliary:B=65;auxiliary:C=505;drop_quantity:I=24;final_inventory:I=12;operation_mode:B=24;pickup_quantity:I=24;routing_arc:B=312;vehicle_load:I=24;visit_selection:B=24,Y_,true,false,false
D9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,3372,f2f507216639d1bfac3f1e5b1dc8e57395c7d1e3e10f56ec234ac416338ba090,auxiliary:B=110;auxiliary:C=1682;drop_quantity:I=60;final_inventory:I=20;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,Y_,true,false,false
D10,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,3372,f2f507216639d1bfac3f1e5b1dc8e57395c7d1e3e10f56ec234ac416338ba090,auxiliary:B=110;auxiliary:C=1682;drop_quantity:I=60;final_inventory:I=20;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,Y_,true,false,false
D11,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,3372,f2f507216639d1bfac3f1e5b1dc8e57395c7d1e3e10f56ec234ac416338ba090,auxiliary:B=110;auxiliary:C=1682;drop_quantity:I=60;final_inventory:I=20;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,Y_,true,false,false
D12,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,1402,4ddaa46ba0740fc976251f9e98e67ed8aa8375bb2a32decfb438063ccdafadce,auxiliary:B=67;auxiliary:C=675;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
D13,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,3376,bbf48d8d7df298e02cbb4d637d476c6a6c32c6a5dbf59e8f09323acdc1826aab,auxiliary:B=112;auxiliary:C=1684;drop_quantity:I=60;final_inventory:I=20;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,Y_,true,false,false
D14,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,3378,74dca8426a15b6bf18121aaaacba54ea2a227580a4ea8c689103bf321d1f16c5,auxiliary:B=113;auxiliary:C=1685;drop_quantity:I=60;final_inventory:I=20;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,Y_,true,false,false
C1,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,1402,4ddaa46ba0740fc976251f9e98e67ed8aa8375bb2a32decfb438063ccdafadce,auxiliary:B=67;auxiliary:C=675;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
C2,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,1402,4ddaa46ba0740fc976251f9e98e67ed8aa8375bb2a32decfb438063ccdafadce,auxiliary:B=67;auxiliary:C=675;drop_quantity:I=36;final_inventory:I=12;operation_mode:B=36;pickup_quantity:I=36;routing_arc:B=468;vehicle_load:I=36;visit_selection:B=36,Y_,true,false,false
C3,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,3382,cb1f02b246be4bab6e41fe66fe6ed29c17801f4b0f27fb4c294a611d62cf6b73,auxiliary:B=115;auxiliary:C=1687;drop_quantity:I=60;final_inventory:I=20;operation_mode:B=60;pickup_quantity:I=60;routing_arc:B=1260;vehicle_load:I=60;visit_selection:B=60,Y_,true,false,false
