state_id,baseline_model_sha256,candidate_model_sha256,objective_section_identical,bounds_and_types_identical,baseline_rows,candidate_rows,declared_duplicates_omitted,proved_duplicates_omitted,new_or_strengthened_rows,nonduplicate_rows_removed,all_omitted_rows_zero_bound_mode_links,feasible_set_and_objective_invariant,status,failure_reason
D1,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,true,true,16049,16049,0,0,0,0,true,true,pass,none
D2,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,97a6888dae2674b44f949a492c3510855b2ede4415dfef520c1fb71035b1b5df,true,true,5719,5716,3,3,0,0,true,true,pass,none
D3,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,true,true,16042,16042,0,0,0,0,true,true,pass,none
D4,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,true,true,16042,16042,0,0,0,0,true,true,pass,none
D5,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,true,true,16042,16042,0,0,0,0,true,true,pass,none
D6,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,d76040004db2f4a7faf7494dcc377e6912bee1998c2b6776398348040fdbde97,true,true,10921,10919,2,2,0,0,true,true,pass,none
D7,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,cf8e35f43aeb95fbf97211aa34572a46de2b43a91598235ea35af625efb87dcf,true,true,10921,10919,2,2,0,0,true,true,pass,none
D8,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,9a1173de87fd4ed0e5e5ff73a34d7e3ed151b29cc661b1dcce660ac487595df6,true,true,10921,10919,2,2,0,0,true,true,pass,none
D9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,e10899f55d18ea936457cff4bcc2d36c2f74db8e8db8a279b6236b5966bf0c66,true,true,10870,10864,6,6,0,0,true,true,pass,none
D10,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,7878655baaaa21cf3521fe940149f92e596cc07ae9a59498dd209b6ce780e601,true,true,10870,10864,6,6,0,0,true,true,pass,none
D11,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,3459f12ba08b70390a287ed9f45ae89e08a6223bd31bff6df7fed29e509377d0,true,true,10870,10864,6,6,0,0,true,true,pass,none
D12,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,d68ba7b9f79469993d13067cb89c0ddf091b55a3708c0baed886b2eead815a7d,true,true,16042,16036,6,6,0,0,true,true,pass,none
D13,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,34cee8a33df14075eb6c0157e55115457884730264033541ed8f3a4274075dab,true,true,10884,10869,15,15,0,0,true,true,pass,none
D14,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,b0771d99fc853756420319d8bce66546e0de4a26e1cae3b0d8833be8e8dba99f,true,true,10891,10888,3,3,0,0,true,true,pass,none
