parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L1,true,1,1,0,0,0.239835,,0,"normalized_child_disjunction_gain_reaches_rho"
L2,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.1,true,1,1,0,0,0.0151652,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0,true,1,1,0,0,0.0271939,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.0,true,1,1,0,0,0.0433477,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.0.1,true,1,1,0,0,0.0194903,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.0.1,true,1,1,0,0,0.0761685,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.0.1.0,true,1,0,0,0,0.00952224,1.01483,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.0.0.1.1,true,1,0,0,0,0.00428154,1.0146,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.0.0.0,true,1,1,0,0,0.0194301,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.1,true,1,0,0,0,0.00224577,1.01589,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.0.0.1.1.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
