parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,0.937301,L1.0,0.989354,0,L1.1,0.997604,0,0.989354,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2,1.09678,L2.0,1.09678,0,L2.1,0,1,1.09678,1e-07,"complete_child_lp_infeasibility"
L1.0,0.989354,L1.0.0,0,1,L1.0.1,1.01151,0,1.01151,1e-07,"complete_child_lp_infeasibility"
L1.1,0.997604,L1.1.0,0.999981,0,L1.1.1,1.03741,0,0.999981,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0,0.999981,L1.1.0.0,1.00418,0,L1.1.0.1,1.01558,0,1.00418,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.0,1.00418,L1.1.0.0.0,1.01554,0,L1.1.0.0.1,1.01069,0,1.01069,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.0.1,1.01069,L1.1.0.0.1.0,1.01349,0,L1.1.0.0.1.1,1.014,0,1.01349,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.0.1,1.01151,L1.0.1.0,1.14089,0,L1.0.1.1,1.02239,0,1.02239,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.0.1.0,1.01349,L1.1.0.0.1.0.0,1.01698,0,L1.1.0.0.1.0.1,1.01483,0,1.01483,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.0.0.1.1,1.014,L1.1.0.0.1.1.0,1.0146,0,L1.1.0.0.1.1.1,1.01565,0,1.0146,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.0.0.0,1.01554,L1.1.0.0.0.0,1.0238,0,L1.1.0.0.0.1,1.01824,0,1.01824,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.1.0.1,1.01558,L1.1.0.1.0,1.01589,0,L1.1.0.1.1,1.02458,0,1.01589,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.0.0.1.1.0,1.01595,L1.1.0.0.1.1.0.0,1.01512,0,L1.1.0.0.1.1.0.1,1.01542,0,1.01512,1e-07,"no_strict_child_disjunction_gain"
