leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.475119,0,0,0,0,0,0,0,0,0,0
L1,0,30,0.483416,0,0,0,0,0,0,0,0,0,0
L2,0,30,30.1546,0,1501,0,0,0,0,0,0,0,0
L3,0,30,0.687206,0,0,0,0,0,0,0,0,0,0
L2,1,60,60.2449,0,2430,0,0,0,0,0,0,0,0
L2.0,0,30,4.18508,0,117,0,0,0,0,0,0,0,0
L2.1,0,30,30.1233,0,2185,0,0,0,0,0,0,0,0
L2.1,1,60,60.087,0,3143,0,0,0,0,0,0,0,0
L2.1.0,0,30,19.1871,0,3187,0,0,0,0,0,0,0,0
L2.1.1,0,30,4.98692,0,480,0,0,0,0,0,0,0,0
