elapsed_seconds,event,leaf_id,gamma_L,gamma_U,attempt,native_status,native_bound,native_bound_available,incumbent,incumbent_available,global_lb,verified_ub,open_leaf_count,failure_reason
0.62309870000000001,attempt,L0,0,0.17962601768874273,0,integer infeasible,0.71850407075497091,1,0,0,0.17962601768874273,0.71850407075497091,1,none
1.2579553999999999,attempt,L1,0.17962601768874273,0.35925203537748546,0,integer infeasible,0.71850407075497091,1,0,0,0.35925203537748546,0.71850407075497091,1,none
31.560552900000001,attempt,L2,0.35925203537748546,0.53887805306622816,0,"time limit exceeded, no integer solution",0.67056592193607611,1,0,0,0.53887805306622816,0.71850407075497091,1,none
32.396696300000002,attempt,L3,0.53887805306622816,0.71850407075497091,0,integer infeasible,0.71850407075497091,1,0,0,0.67056592193607611,0.71850407075497091,1,none
92.654908399999997,attempt,L2,0.35925203537748546,0.53887805306622816,1,"time limit exceeded, no integer solution",0.67056592193607611,1,0,0,0.67056592193607611,0.71850407075497091,1,none
92.654947699999994,split,L2,0.35925203537748546,0.53887805306622816,-1,not_run,0,false,0,false,0.67056592193607611,0.71850407075497091,2,none
96.989470299999994,attempt,L2.0,0.35925203537748546,0.44906504422185678,0,integer infeasible,0.71850407075497091,1,0,0,0.67056592193607611,0.71850407075497091,1,none
127.2619236,attempt,L2.1,0.44906504422185678,0.53887805306622816,0,"time limit exceeded, no integer solution",0.69783901455537856,1,0,0,0.69783901455537856,0.71850407075497091,1,none
187.3621383,attempt,L2.1,0.44906504422185678,0.53887805306622816,1,"time limit exceeded, no integer solution",0.69783901455537856,1,0,0,0.69783901455537856,0.71850407075497091,1,none
187.36217260000001,split,L2.1,0.44906504422185678,0.53887805306622816,-1,not_run,0,false,0,false,0.69783901455537856,0.71850407075497091,2,none
206.70076900000001,attempt,L2.1.0,0.44906504422185678,0.49397154864404247,0,integer optimal solution,0.71850407075497102,1,0,0,0.69783901455537856,0.71850407075497091,1,none
211.8380248,attempt,L2.1.1,0.49397154864404247,0.53887805306622816,0,integer infeasible,0.71850407075497091,1,0,0,0.71850407075497091,0.71850407075497091,0,none
