callback_isolation_mode,state_id,policy_label,policy,role,state_kind,process_cap_seconds,executable_sha256,input_sha256,model_sha256,status,certificate,certificate_class,false_certificate,engineering_gate,evidence_complete,cap_respected,native_status,lower_bound,verified_upper_bound,gap,gi_common_horizon,work,solver_time_seconds,process_time_seconds,nodes,simplex_iterations,average_iterations_per_node,peak_memory_gb,root_relaxation_bound_available,root_relaxation_bound,final_root_cut_bound_available,final_root_cut_bound,root_work,root_time_seconds,root_simplex_iterations,first_incumbent_work,first_incumbent_time_seconds,model_build_seconds,model_read_seconds,original_rows,original_columns,original_nonzeros,subset_duration_policy,subset_duration_rows,subset_duration_first_row_id,subset_duration_last_row_id,subset_duration_min_m,subset_duration_max_m,historical_m_may_be_unsafe,tailored_cut_policy,round53_callback_mode,callback_active,cbcut_symbol_loaded,cblazy_symbol_loaded,precrush_requested,precrush_effective,precrush_roundtrip_valid,mipnode_calls,mipnode_status_reads,relaxation_vector_reads,separator_calls,cut_submission_calls,callback_disabled_after_failure,callback_calls,root_callback_calls,tree_callback_calls,nonoptimal_mipnode_callbacks,relaxation_vector_failures,cuts_generated,cuts_violated,cuts_selected,cuts_added,duplicate_rejections,dominated_rejections,nonviolated_rejections,invalid_rejections,submission_failures,callback_failures,cut_pool_size,callback_overhead_seconds,cut_infrastructure_gate,failure_reason,artifact_dir
C0,D1,C0,round53-c0-f0-clean,retain historically preferable; severe fragmentation guard,parent,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628343,0.04500155005562836,3.0838466209851717e-16,0.056992413744337514,431.25578561192424,277.6800000667572,277.7533003,34270,5396065,157.457397140356,0.07524241,True,0.03185463,True,0.032667933206677886,2.2742535608980408,1.4265193,982,29.023288373237232,18.7470584,0.0294286,0.0058775,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C0/D1__C0
C0,D3,C0,round53-c0-f0-clean,strong-control difficult parent,parent,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,edc9fc393ca44821eb4dd7c0cc5a2223ce0dc95a345548d153a4d22a5862d6ce,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.5063433075652058,0.506343307565206,2.1926290088907398e-16,0.07824510190887514,237.58013341940048,145.17400002479553,145.2541187,30167,1403089,46.510723638412834,0.092616787,True,0.1100648,True,0.3425681332295883,3.318805483459207,2.234164,1553,8.35277558671614,5.6458939,0.039421,0.0056231,3757,1402,16319,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C0/D3__C0
C0,D13,C0,round53-c0-f0-clean,high-imbalance difficult K1 interval,child,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,2.4434031919432027,2.4434031919432,0,0.018294791947252764,469.8380750590921,242.72699999809265,242.8682637,14010,1335194,95.30292648108494,0.139302494,True,2.271243,True,2.3495580338484627,19.817643564489646,10.9987165,4087,177.7935774430082,97.6787128,0.0829199,0.0177764,10884,3376,53713,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C0/D13__C0
C0,D14,C0,round53-c0-f0-clean,moderate3301 difficult K1 interval,child,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,83daeb902d8d68a0e08a84d190b43647183b146daf81c31e99be07c10fc6242a,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,capped,False,certificate_rejected,False,True,True,True,TIME_LIMIT,0.0483881628339312,0.04915255266474515,0.015551376060316213,0.08195465777178197,644.5461284046905,297.89800000190735,298.0408204,6579,2813440,427.6394588843289,0.143398402,True,0.03996241,True,0.041360124778295454,20.22104519187402,8.951122,3290,310.603686107071,150.127291,0.0808462,0.0176118,10891,3378,53488,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C0/D14__C0
C1,D1,C1,round53-c1-precrush-only,retain historically preferable; severe fragmentation guard,parent,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628316,0.04500155005562836,9.251539862955515e-16,0.04543500252346083,337.0242964580917,218.4980001449585,218.5702745,25277,4320418,170.9228943308146,0.075736671,True,0.03185463,True,0.032667933206677886,2.2711428651786694,1.4303399,982,18.646648625610222,11.6031884,0.0295923,0.0069492,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c1-precrush-only,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C1/D1__C1
C1,D3,C1,round53-c1-precrush-only,strong-control difficult parent,parent,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,edc9fc393ca44821eb4dd7c0cc5a2223ce0dc95a345548d153a4d22a5862d6ce,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.506343272364915,0.506343307565206,6.951862575922487e-08,0.07259932457693896,225.47632119042188,136.85800004005432,136.9364575,26106,1388189,53.17509384815751,0.087134072,True,0.1100648,True,0.3425681332295883,3.3168126072791213,2.2063724,1553,8.27785135450709,5.5282375,0.0389588,0.0056009,3757,1402,16319,off,0,-1,-1,0,0,False,f0-clean-none,c1-precrush-only,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C1/D3__C1
C1,D13,C1,round53-c1-precrush-only,high-imbalance difficult K1 interval,child,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,capped,False,certificate_rejected,False,True,True,True,TIME_LIMIT,2.435621236097609,2.4434031919432,0.003184884046665378,0.020288015153821788,587.6814265274895,297.8989999294281,298.0406695,11931,1197946,100.40616880395608,0.213859188,True,2.271243,True,2.3495580338484627,20.333063441678053,11.4235631,4087,160.61151088462125,89.0807694,0.082216,0.0177111,10884,3376,53713,off,0,-1,-1,0,0,False,f0-clean-none,c1-precrush-only,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C1/D13__C1
C1,D14,C1,round53-c1-precrush-only,moderate3301 difficult K1 interval,child,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,83daeb902d8d68a0e08a84d190b43647183b146daf81c31e99be07c10fc6242a,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,capped,False,certificate_rejected,False,True,True,True,TIME_LIMIT,0.0483881628339312,0.04915255266474515,0.015551376060316213,0.08186068529601782,644.8588241777552,297.9010000228882,298.0417883,6583,2815398,427.6770469390855,0.143398402,True,0.03996241,True,0.041360124778295454,20.21287487356398,8.8754015,3290,310.57875345120044,149.9121686,0.0821086,0.0175901,10891,3378,53488,off,0,-1,-1,0,0,False,f0-clean-none,c1-precrush-only,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C1/D14__C1
C2,D1,C2,round53-c2-status-only,retain historically preferable; severe fragmentation guard,parent,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628343,0.04500155005562836,3.0838466209851717e-16,0.05703171477174989,431.25578561192424,277.9849998950958,278.0580508,34270,5396065,157.457397140356,0.07524241,True,0.03185463,True,0.032667933206677886,2.2742535608980408,1.4338975,982,29.023288373237232,18.7011061,0.0292333,0.0060291,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c2-status-only,0,1,1,-1,-1,0,34282,34282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C2/D1__C2
C2,D3,C2,round53-c2-status-only,strong-control difficult parent,parent,300,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,edc9fc393ca44821eb4dd7c0cc5a2223ce0dc95a345548d153a4d22a5862d6ce,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.5063433075652058,0.506343307565206,2.1926290088907398e-16,0.07837115169848341,237.58013341940048,145.44599986076355,145.5243711,30167,1403089,46.510723638412834,0.092616787,True,0.1100648,True,0.3425681332295883,3.318805483459207,2.2070273,1553,8.35277558671614,5.6188855,0.0386113,0.0056981,3757,1402,16319,off,0,-1,-1,0,0,False,f0-clean-none,c2-status-only,0,1,1,-1,-1,0,30189,30189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s/C2/D3__C2
