instance_id,M,Q,difficulty_configuration,pgrb_certificate,k1_v0_certificate,k1_candidate_certificate,candidate_certificate_gain_vs_v0,candidate_certificate_loss_vs_v0,pgrb_work,k1_v0_work,k1_candidate_work,shifted_work_ratio_candidate_over_v0,pgrb_gi,k1_v0_gi,k1_candidate_gi,gi_ratio_candidate_over_v0,severe_vs_v0,severe_vs_pgrb
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,20,tight_T_2400,False,True,True,False,False,196.2226485741378,20.48714277685593,3.561852313237818,0.2123061386342835,0.0072241144528376175,0.001696108941550011,0.0010112926125533744,0.596242722256503,False,False
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,20,high_imbalance_3600,False,True,True,False,False,94.15399577760002,48.94208770297176,11.723887681771723,0.2547728432468913,0.0002024603499712479,0.0011867353554857536,0.0009752892874688214,0.8218254246496404,False,False
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,20,moderate_3600,False,True,True,False,False,297.60099331861335,95.48217473793136,23.46691331738243,0.2535899857547823,0.031012831414458805,0.009658989737131208,0.004652378615235446,0.48166306641270307,False,False
round53_sealed_v12_tight_T_2400_V12_M2_Q30_seed1826205989,2,30,tight_T_2400,False,True,True,False,False,483.3612506013472,144.9731279018783,35.10793385335524,0.2473601434205523,0.006513285648389354,0.0034702187974438125,0.0012588194435068107,0.3627493011201674,False,False
round53_sealed_v12_high_imbalance_3600_V12_M2_Q30_seed527237204,2,30,high_imbalance_3600,False,True,True,False,False,332.4862183261337,53.22054403321715,10.25776235947301,0.20762909262909945,0.0009249987687106459,0.002205272363493319,0.002082693791939185,0.9444156769098759,False,False
round53_sealed_v12_moderate_3600_V12_M2_Q30_seed1230493897,2,30,moderate_3600,False,True,True,False,False,862.5995230771775,496.2831087472315,124.26011622525193,0.2518889421778481,0.03601398237525749,0.034287641868958066,0.008872633458343522,0.2587705941473993,False,False
round53_sealed_v12_tight_T_2400_V12_M3_Q20_seed1388001936,3,20,tight_T_2400,False,True,True,False,False,4242.58504796054,1633.123682096775,410.9656371464908,0.252101870660053,0.07667888626829905,0.031823428321608574,0.00995491599874178,0.31281720806875624,False,False
round53_sealed_v12_high_imbalance_3600_V12_M3_Q20_seed912024350,3,20,high_imbalance_3600,False,False,True,True,False,6980.974899492934,8490.28768313298,2181.114614753231,0.2569827682422967,0.08311819800463978,0.07226821751137187,0.01142720214781858,0.15812209767067295,False,False
round53_sealed_v12_moderate_3600_V12_M3_Q20_seed587061832,3,20,moderate_3600,False,True,True,False,False,0.26912976321681414,8.474807117911666,1.736174530358729,0.2887841933147244,1.3094955986047694e-05,0.0011519607008457415,0.0009042743397391125,0.7849871432898851,False,False
round53_sealed_v12_tight_T_2400_V12_M3_Q30_seed169390111,3,30,tight_T_2400,False,True,True,False,False,1902.3660709210449,441.62906762863116,134.98487023412633,0.30722083157046204,0.032057365246507055,0.00552819655230004,0.002599229277480155,0.4701767118607116,False,False
round53_sealed_v12_high_imbalance_3600_V12_M3_Q30_seed1699094863,3,30,high_imbalance_3600,False,True,True,False,False,6589.683054323914,2500.3528408468833,1107.4486247913972,0.4431396509482883,0.12397250168413433,0.030201393367710192,0.022313973817779054,0.738839216657998,False,False
round53_sealed_v12_moderate_3600_V12_M3_Q30_seed894901702,3,30,moderate_3600,False,True,True,False,False,5582.469966172583,1550.7211942808894,372.28180335893626,0.2405598407334543,0.31644631910862764,0.05931588473350609,0.018939100215683295,0.3192922149062216,False,False
