cap_seconds,state_id,effect_id,component,left_mode,right_mode,left_certificate,right_certificate,certificate_change,left_work,right_work,shifted_work_ratio,left_gi,right_gi,shifted_gi_ratio
300,D1,C1-C0,PreCrush only,C0,C1,True,True,0,431.25578561192424,337.0242964580917,0.782000629510526,0.056992413744337514,0.04543500252346083,0.9890657576434866
300,D13,C1-C0,PreCrush only,C0,C1,True,False,-1,469.8380750590921,587.6814265274895,1.2502842435875807,0.018294791947252764,0.020288015153821788,1.001957412747597
300,D14,C1-C0,PreCrush only,C0,C1,False,False,0,644.5461284046905,644.8588241777552,1.0004843895103785,0.08195465777178197,0.08186068529601782,0.9999131456433139
300,D3,C1-C0,PreCrush only,C0,C1,True,True,0,237.58013341940048,225.47632119042188,0.9492673088261658,0.07824510190887514,0.07259932457693896,0.994763920260856
300,D1,C2-C0,status-only MIPNODE registration,C0,C2,True,True,0,431.25578561192424,431.25578561192424,1.0,0.056992413744337514,0.05703171477174989,1.000037181938963
300,D13,C2-C0,status-only MIPNODE registration,C0,C2,True,True,0,469.8380750590921,469.8380750590921,1.0,0.018294791947252764,0.018313869636632583,1.0000187349375944
300,D14,C2-C0,status-only MIPNODE registration,C0,C2,False,False,0,644.5461284046905,643.264170960652,0.998014150519024,0.08195465777178197,0.08214149189676132,1.0001726820284356
300,D3,C2-C0,status-only MIPNODE registration,C0,C2,True,True,0,237.58013341940048,237.58013341940048,1.0,0.07824510190887514,0.07837115169848341,1.0001169027240513
300,D1,C3-C2,PreCrush conditional on status callback,C2,C3,True,True,0,431.25578561192424,337.0242964580917,0.782000629510526,0.05703171477174989,0.0455129632251628,0.9891027379920437
300,D13,C3-C2,PreCrush conditional on status callback,C2,C3,True,False,-1,469.8380750590921,589.2197962880986,1.2535515446876797,0.018313869636632583,0.02024164617178439,1.0018931064307706
300,D14,C3-C2,PreCrush conditional on status callback,C2,C3,False,False,0,643.264170960652,644.9969502883852,1.0026895478684612,0.08214149189676132,0.08183374223197577,0.9997156105120355
300,D3,C3-C2,PreCrush conditional on status callback,C2,C3,True,True,0,237.58013341940048,225.47632119042188,0.9492673088261658,0.07837115169848341,0.07271222926987081,0.9947523425309556
300,D1,C3-C1,status callback conditional on PreCrush,C1,C3,True,True,0,337.0242964580917,337.0242964580917,1.0,0.04543500252346083,0.0455129632251628,1.000074572499977
300,D13,C3-C1,status callback conditional on PreCrush,C1,C3,False,False,0,587.6814265274895,589.2197962880986,1.0026132466411988,0.020288015153821788,0.02024164617178439,0.9999545530464451
300,D14,C3-C1,status callback conditional on PreCrush,C1,C3,False,False,0,644.8588241777552,644.9969502883852,1.0002138642462706,0.08186068529601782,0.08183374223197577,0.9999750956251501
300,D3,C3-C1,status callback conditional on PreCrush,C1,C3,True,True,0,225.47632119042188,225.47632119042188,1.0,0.07259932457693896,0.07271222926987081,1.0001052626925495
300,D1,C4-C3,relaxation extraction and separator dry run,C3,C4,True,True,0,337.0242964580917,337.0242964580917,1.0,0.0455129632251628,0.04554021267460662,1.0000260632344145
300,D13,C4-C3,relaxation extraction and separator dry run,C3,C4,False,False,0,589.2197962880986,585.1954440814447,0.9931816041549894,0.02024164617178439,0.020433403820702196,1.000187953167406
300,D14,C4-C3,relaxation extraction and separator dry run,C3,C4,False,False,0,644.9969502883852,644.4572804896701,0.9991645938909245,0.08183374223197577,0.08204045249117513,1.0001910739618576
300,D3,C4-C3,relaxation extraction and separator dry run,C3,C4,True,True,0,225.47632119042188,225.47632119042188,1.0,0.07271222926987081,0.07290364246377348,1.000178438530558
300,D1,C5-C4,actual user-cut submission,C4,C5,True,False,-1,337.0242964580917,458.78878117175884,1.3602240607836409,0.04554021267460662,0.06793987801687382,1.0214240113108288
300,D13,C5-C4,actual user-cut submission,C4,C5,False,False,0,585.1954440814447,586.5036540303943,1.0022316958655308,0.020433403820702196,0.020394753779764737,0.9999621238967749
300,D14,C5-C4,actual user-cut submission,C4,C5,False,False,0,644.4572804896701,595.6431702284887,0.9243728256901075,0.08204045249117513,0.08516727047114606,1.0028897422206093
300,D3,C5-C4,actual user-cut submission,C4,C5,True,True,0,225.47632119042188,225.47632119042188,1.0,0.07290364246377348,0.07274333831589362,0.9998505884950565
1200,D1,C1-C0,PreCrush only,C0,C1,True,True,0,431.25578561192424,337.0242964580917,0.782000629510526,0.014654492364088079,0.01172310919893483,0.9971109543325204
1200,D13,C1-C0,PreCrush only,C0,C1,True,True,0,469.8380750590921,687.5713031334145,1.4624375971441903,0.004761628955440903,0.005210839970300089,1.0004470821754272
1200,D1,C2-C0,status-only MIPNODE registration,C0,C2,True,True,0,431.25578561192424,431.25578561192424,1.0,0.014654492364088079,0.01422944588552238,0.9995810923996646
1200,D13,C2-C0,status-only MIPNODE registration,C0,C2,True,True,0,469.8380750590921,469.8380750590921,1.0,0.004761628955440903,0.004572043678387731,0.9998113131795746
1200,D1,C3-C2,PreCrush conditional on status callback,C2,C3,True,True,0,431.25578561192424,337.0242964580917,0.782000629510526,0.01422944588552238,0.011347824250757513,0.997158806967738
