instance_id,M,difficulty_configuration,method,checkpoint_seconds,strict_certificate_by_checkpoint,gap,normalized_gap_integral,run_id
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,P-GRB,300.0,False,0.00010947509846610134,0.08548514735092429,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__P-GRB__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,P-GRB,1200.0,False,0.00010947509846610134,0.021453393161580646,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__P-GRB__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,P-GRB,1800.0,False,0.00010947509846610134,0.014338753807209132,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__P-GRB__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,P-GRB,3600.0,False,0.00010947509846610134,0.0072241144528376175,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__P-GRB__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-v0,300.0,True,0.0,0.020353307298600132,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-v0__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-v0,1200.0,True,0.0,0.005088326824650033,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-v0__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-v0,1800.0,True,0.0,0.003392217883100022,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-v0__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-v0,3600.0,True,0.0,0.001696108941550011,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-v0__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-CANDIDATE,300.0,True,0.0,0.01213551135064049,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-CANDIDATE__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-CANDIDATE,1200.0,True,0.0,0.0030338778376601226,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-CANDIDATE__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-CANDIDATE,1800.0,True,0.0,0.0020225852251067487,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-CANDIDATE__3600s
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,2,tight_T_2400,K1-AM-CANDIDATE,3600.0,True,0.0,0.0010112926125533744,sealed__round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436__K1-AM-CANDIDATE__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,P-GRB,300.0,False,1.4396141844320634e-16,0.0024295241996533912,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__P-GRB__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,P-GRB,1200.0,False,1.4396141844320634e-16,0.0006073810499134558,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__P-GRB__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,P-GRB,1800.0,False,1.4396141844320634e-16,0.0004049206999423518,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__P-GRB__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,P-GRB,3600.0,False,1.4396141844320634e-16,0.0002024603499712479,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__P-GRB__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-v0,300.0,True,0.0,0.014240824265829044,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-v0__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-v0,1200.0,True,0.0,0.003560206066457261,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-v0__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-v0,1800.0,True,0.0,0.0023734707109715073,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-v0__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-v0,3600.0,True,0.0,0.0011867353554857536,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-v0__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-CANDIDATE,300.0,True,0.0,0.011703471449625857,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-CANDIDATE__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-CANDIDATE,1200.0,True,0.0,0.0029258678624064643,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-CANDIDATE__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-CANDIDATE,1800.0,True,0.0,0.0019505785749376428,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-CANDIDATE__3600s
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,2,high_imbalance_3600,K1-AM-CANDIDATE,3600.0,True,0.0,0.0009752892874688214,sealed__round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921__K1-AM-CANDIDATE__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,P-GRB,300.0,False,2.983754813316763e-09,0.37215394415220276,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__P-GRB__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,P-GRB,1200.0,False,2.983754813316763e-09,0.09303848827586679,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__P-GRB__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,P-GRB,1800.0,False,2.983754813316763e-09,0.062025659845162805,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__P-GRB__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,P-GRB,3600.0,False,2.983754813316763e-09,0.031012831414458805,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__P-GRB__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,K1-AM-v0,300.0,True,0.0,0.1159078768455745,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__K1-AM-v0__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,K1-AM-v0,1200.0,True,0.0,0.028976969211393627,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__K1-AM-v0__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,K1-AM-v0,1800.0,True,0.0,0.019317979474262417,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__K1-AM-v0__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,K1-AM-v0,3600.0,True,0.0,0.009658989737131208,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__K1-AM-v0__3600s
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,2,moderate_3600,K1-AM-CANDIDATE,300.0,True,0.0,0.05582854338282536,sealed__round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331__K1-AM-CANDIDATE__3600s
