instance_id,comparison,severe_regression,reason
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,candidate-vs-K1-v0,False,none
round53_sealed_v12_tight_T_2400_V12_M2_Q20_seed19430436,candidate-vs-P-GRB,False,none
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,candidate-vs-K1-v0,False,none
round53_sealed_v12_high_imbalance_3600_V12_M2_Q20_seed15988921,candidate-vs-P-GRB,False,none
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,candidate-vs-K1-v0,False,none
round53_sealed_v12_moderate_3600_V12_M2_Q20_seed1498709331,candidate-vs-P-GRB,False,none
round53_sealed_v12_tight_T_2400_V12_M2_Q30_seed1826205989,candidate-vs-K1-v0,False,none
round53_sealed_v12_tight_T_2400_V12_M2_Q30_seed1826205989,candidate-vs-P-GRB,False,none
round53_sealed_v12_high_imbalance_3600_V12_M2_Q30_seed527237204,candidate-vs-K1-v0,False,none
round53_sealed_v12_high_imbalance_3600_V12_M2_Q30_seed527237204,candidate-vs-P-GRB,False,none
round53_sealed_v12_moderate_3600_V12_M2_Q30_seed1230493897,candidate-vs-K1-v0,False,none
round53_sealed_v12_moderate_3600_V12_M2_Q30_seed1230493897,candidate-vs-P-GRB,False,none
round53_sealed_v12_tight_T_2400_V12_M3_Q20_seed1388001936,candidate-vs-K1-v0,False,none
round53_sealed_v12_tight_T_2400_V12_M3_Q20_seed1388001936,candidate-vs-P-GRB,False,none
round53_sealed_v12_high_imbalance_3600_V12_M3_Q20_seed912024350,candidate-vs-K1-v0,False,none
round53_sealed_v12_high_imbalance_3600_V12_M3_Q20_seed912024350,candidate-vs-P-GRB,False,none
round53_sealed_v12_moderate_3600_V12_M3_Q20_seed587061832,candidate-vs-K1-v0,False,none
round53_sealed_v12_moderate_3600_V12_M3_Q20_seed587061832,candidate-vs-P-GRB,False,none
round53_sealed_v12_tight_T_2400_V12_M3_Q30_seed169390111,candidate-vs-K1-v0,False,none
round53_sealed_v12_tight_T_2400_V12_M3_Q30_seed169390111,candidate-vs-P-GRB,False,none
round53_sealed_v12_high_imbalance_3600_V12_M3_Q30_seed1699094863,candidate-vs-K1-v0,False,none
round53_sealed_v12_high_imbalance_3600_V12_M3_Q30_seed1699094863,candidate-vs-P-GRB,False,none
round53_sealed_v12_moderate_3600_V12_M3_Q30_seed894901702,candidate-vs-K1-v0,False,none
round53_sealed_v12_moderate_3600_V12_M3_Q30_seed894901702,candidate-vs-P-GRB,False,none
