state_id,instance,V,objective_identity,variable_order_type_bound_identity,interval_cutoff_symmetry_and_nontarget_rows_identity,solver_command_contract_identity,v0_model_sha256,f0_model_sha256,byte_identical,v0_rows,f0_rows,removed_rows,v0_columns,f0_columns,v0_nonzeros,f0_nonzeros,removed_nonzeros,target_first_row_id,target_last_row_id,pass,executable_sha256
D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,12,True,True,True,True,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,False,16049,3764,12285,1404,1404,164344,16888,147456,2472,14756,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,10,True,True,True,True,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,dab3c76887b0f80ccae3224e8dee8aa6df71c38a4f8ff8648eb3d633c2cb9b8d,False,5719,2650,3069,1037,1037,41151,10431,30720,1818,4886,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D3,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,True,True,True,True,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,edc9fc393ca44821eb4dd7c0cc5a2223ce0dc95a345548d153a4d22a5862d6ce,False,16042,3757,12285,1402,1402,163775,16319,147456,2468,14752,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,True,True,True,True,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,94d48cf9b151bcb43b4a2c493c67e202ed3fcf0b2cd83004edee728784c0e5fb,False,16042,3757,12285,1402,1402,163775,16319,147456,2468,14752,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D5,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,True,True,True,True,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,c48012ad18efe50c4b292c5ecc0c3ccda95f67fb392645ac760b5f3217c07fb2,False,16042,3757,12285,1402,1402,163921,16465,147456,2468,14752,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D6,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,True,True,True,True,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,b84e6b75516bd3716232e269c15ff38db7a9bf740d0d9dae0e77893cb4c49fbe,False,10921,2731,8190,1014,1014,109433,11129,98304,1735,9924,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D7,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,True,True,True,True,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,8a59ef50cf446b52c456a1468374753014b5c896674e5177141a90985c8d6871,False,10921,2731,8190,1014,1014,109433,11129,98304,1735,9924,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D8,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,True,True,True,True,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,48e83b5cfe653e0f4f7e8c2964b0c3911528c110115dc1af3426369166e453bf,False,10921,2731,8190,1014,1014,109575,11271,98304,1735,9924,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D9,tight_T_seed3102,20,True,True,True,True,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,True,10870,10870,0,3372,3372,53465,53465,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
D10,tight_T_seed3102,20,True,True,True,True,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,True,10870,10870,0,3372,3372,53465,53465,0,-1,-1,True,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52
