stage,identity,method_or_policy,certificate,correctness_gate,false_certificate,source_file
fixed-development,D1,production-v0,False,True,False,f0_development_300s.csv
fixed-development,D2,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D3,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D4,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D5,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D6,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D7,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D8,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D9,production-v0,False,True,False,f0_development_300s.csv
fixed-development,D10,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D11,production-v0,False,True,False,f0_development_300s.csv
fixed-development,D12,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D13,production-v0,True,True,False,f0_development_300s.csv
fixed-development,D14,production-v0,False,True,False,f0_development_300s.csv
fixed-development,D1,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D2,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D3,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D4,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D5,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D6,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D7,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D8,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D9,F0-CLEAN,False,True,False,f0_development_300s.csv
fixed-development,D10,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D11,F0-CLEAN,False,True,False,f0_development_300s.csv
fixed-development,D12,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D13,F0-CLEAN,True,True,False,f0_development_300s.csv
fixed-development,D14,F0-CLEAN,False,True,False,f0_development_300s.csv
fixed-confirmation,C1,production-v0,False,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C2,production-v0,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C3,production-v0,False,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C4,production-v0,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C5,production-v0,False,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C6,production-v0,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C7,production-v0,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C8,production-v0,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C9,production-v0,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C1,F0-CLEAN,False,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C2,F0-CLEAN,True,True,False,f0_confirmation_1200s.csv
fixed-confirmation,C3,F0-CLEAN,False,True,False,f0_confirmation_1200s.csv
