callback_isolation_mode,state_id,policy_label,policy,role,state_kind,process_cap_seconds,executable_sha256,input_sha256,model_sha256,status,certificate,certificate_class,false_certificate,engineering_gate,evidence_complete,cap_respected,native_status,lower_bound,verified_upper_bound,gap,gi_common_horizon,work,solver_time_seconds,process_time_seconds,nodes,simplex_iterations,average_iterations_per_node,peak_memory_gb,root_relaxation_bound_available,root_relaxation_bound,final_root_cut_bound_available,final_root_cut_bound,root_work,root_time_seconds,root_simplex_iterations,first_incumbent_work,first_incumbent_time_seconds,model_build_seconds,model_read_seconds,original_rows,original_columns,original_nonzeros,subset_duration_policy,subset_duration_rows,subset_duration_first_row_id,subset_duration_last_row_id,subset_duration_min_m,subset_duration_max_m,historical_m_may_be_unsafe,tailored_cut_policy,round53_callback_mode,callback_active,cbcut_symbol_loaded,cblazy_symbol_loaded,precrush_requested,precrush_effective,precrush_roundtrip_valid,mipnode_calls,mipnode_status_reads,relaxation_vector_reads,separator_calls,cut_submission_calls,callback_disabled_after_failure,callback_calls,root_callback_calls,tree_callback_calls,nonoptimal_mipnode_callbacks,relaxation_vector_failures,cuts_generated,cuts_violated,cuts_selected,cuts_added,duplicate_rejections,dominated_rejections,nonviolated_rejections,invalid_rejections,submission_failures,callback_failures,cut_pool_size,callback_overhead_seconds,cut_infrastructure_gate,failure_reason,artifact_dir
C0,D1,C0,round53-c0-f0-clean,retain historically preferable; severe fragmentation guard,parent,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628343,0.04500155005562836,3.0838466209851717e-16,0.014654492364088079,431.25578561192424,286.19400000572205,286.318531,34270,5396065,157.457397140356,0.075242412,True,0.03185463,True,0.032667933206677886,2.2742535608980408,1.4900795,982,29.023288373237232,18.9763837,0.0294502,0.0059184,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C0/D1__C0
C0,D13,C0,round53-c0-f0-clean,high-imbalance difficult K1 interval,child,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,2.4434031919432027,2.4434031919432,0,0.004761628955440903,469.8380750590921,253.31499981880188,253.4659304,14010,1335194,95.30292648108494,0.139302496,True,2.271243,True,2.3495580338484627,19.817643564489646,11.6886645,4087,177.7935774430082,101.4859389,0.0835716,0.0175241,10884,3376,53713,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C0/D13__C0
C1,D1,C1,round53-c1-precrush-only,retain historically preferable; severe fragmentation guard,parent,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628316,0.04500155005562836,9.251539862955515e-16,0.01172310919893483,337.0242964580917,225.57299995422363,225.6425223,25277,4320418,170.9228943308146,0.075736673,True,0.03185463,True,0.032667933206677886,2.2711428651786694,1.4724065,982,18.646648625610222,11.8510486,0.0290522,0.0060003,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c1-precrush-only,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C1/D1__C1
C1,D13,C1,round53-c1-precrush-only,high-imbalance difficult K1 interval,child,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,2.443403191943201,2.4434031919432,0,0.005210839970300089,687.5713031334145,356.35599994659424,356.5007791,22953,1551541,67.59643619570427,0.21385919,True,2.271243,True,2.3495580338484627,20.333063441678053,11.4959431,4087,160.61151088462125,90.0979383,0.0830961,0.0180365,10884,3376,53713,off,0,-1,-1,0,0,False,f0-clean-none,c1-precrush-only,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C1/D13__C1
C2,D1,C2,round53-c2-status-only,retain historically preferable; severe fragmentation guard,parent,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628343,0.04500155005562836,3.0838466209851717e-16,0.01422944588552238,431.25578561192424,277.4909999370575,277.5648346,34270,5396065,157.457397140356,0.075242412,True,0.03185463,True,0.032667933206677886,2.2742535608980408,1.4457471,982,29.023288373237232,18.6570923,0.030257,0.0060062,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c2-status-only,0,1,1,-1,-1,0,34282,34282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C2/D1__C2
C2,D13,C2,round53-c2-status-only,high-imbalance difficult K1 interval,child,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,2.4434031919432027,2.4434031919432,0,0.004572043678387731,469.8380750590921,242.84500002861023,242.9885535,14010,1335194,95.30292648108494,0.139302496,True,2.271243,True,2.3495580338484627,19.817643564489646,10.9864257,4087,177.7935774430082,97.7283291,0.0832244,0.0175624,10884,3376,53713,off,0,-1,-1,0,0,False,f0-clean-none,c2-status-only,0,1,1,-1,-1,0,14054,14054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C2/D13__C2
C3,D1,C3,round53-c3-status-precrush,retain historically preferable; severe fragmentation guard,parent,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628316,0.04500155005562836,9.251539862955515e-16,0.011347824250757513,337.0242964580917,218.260999917984,218.3293183,25277,4320418,170.9228943308146,0.075736673,True,0.03185463,True,0.032667933206677886,2.2711428651786694,1.4527937,982,18.646648625610222,11.6001416,0.0293263,0.0058302,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c3-status-precrush,0,1,1,1,1,1,25289,25289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C3/D1__C3
C3,D13,C3,round53-c3-status-precrush,high-imbalance difficult K1 interval,child,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,2.443403191943201,2.4434031919432,0,0.005143254546265783,687.5713031334145,353.4119999408722,353.5506461,22953,1551541,67.59643619570427,0.21385919,True,2.271243,True,2.3495580338484627,20.333063441678053,11.3720733,4087,160.61151088462125,88.9052422,0.0807421,0.0179676,10884,3376,53713,off,0,-1,-1,0,0,False,f0-clean-none,c3-status-precrush,0,1,1,1,1,1,22997,22997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C3/D13__C3
C4,D1,C4,round53-c4-separator-dry-run,retain historically preferable; severe fragmentation guard,parent,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628316,0.04500155005562836,9.251539862955515e-16,0.01138030511449334,337.0242964580917,218.50999999046326,218.580397,25277,4320418,170.9228943308146,0.075736673,True,0.03185463,True,0.032667933206677886,2.2711428651786694,1.5383818,982,18.646648625610222,11.7297172,0.0297696,0.0059263,3764,1404,16888,off,0,-1,-1,0,0,False,sd-r3-root-blockmax-dry-run,c4-separator-dry-run,1,1,1,1,1,1,25289,25289,16,16,0,0,16,16,0,7074,0,13728,2,1,0,1,0,13726,0,0,0,1,0.094932300000084041,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C4/D1__C4
C4,D13,C4,round53-c4-separator-dry-run,high-imbalance difficult K1 interval,child,1200,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,2.443403191943201,2.4434031919432,0,0.005184874630602215,687.5713031334145,354.86300015449524,355.0046455,22953,1551541,67.59643619570427,0.21385919,True,2.271243,True,2.3495580338484627,20.333063441678053,12.5607326,4087,160.61151088462125,90.056785,0.081452,0.0174442,10884,3376,53713,off,0,-1,-1,0,0,False,sd-r3-root-blockmax-dry-run,c4-separator-dry-run,1,1,1,1,1,1,22997,22997,48,48,0,0,48,48,0,9669,0,191520,0,0,0,0,0,191520,0,0,0,0,1.2652578999996722,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s/C4/D13__C4
