group_path,file_count,total_bytes,deterministic_tree_sha256,tree_hash_algorithm,generating_command,official_executable_sha256,fixed_interval_harness_sha256,representative_compact_ledger,storage
results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_1200s,234,14254518,1c13ad6e660e0009b22342d53a72392676dc2294783d26fba301a61c71be52b2,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_fixed_interval_panel.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,callback_isolation_1200s.csv,local_only
results/gf_k1_f0_callback_isolation_round53/local_raw/callback_isolation_300s,462,25929178,196d5276c568af9fda759dfa12f617eda47fd5714db9a77bfd77f533728687be,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_fixed_interval_panel.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,callback_isolation_300s.csv,local_only
results/gf_k1_f0_callback_isolation_round53/local_raw/f0_confirmation_1200s,342,17498719,4b23c4437671ec95a9860015ec561844ebbc250719e2d53aab026d628c130095,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_fixed_interval_panel.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,f0_confirmation_1200s.csv,local_only
results/gf_k1_f0_callback_isolation_round53/local_raw/f0_development_300s,532,37923515,8a85b7d4a711dfea1b59b03b9262960ae44cdfbb7b9a03e684b5015d9dde5900,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_fixed_interval_panel.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,f0_development_300s.csv,local_only
results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s,228,21906320,7b9e475f8294e825e85f86f864b7a39df5fad747bcd90c281bc823b425d7735d,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_fixed_interval_panel.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,f0_key_long_3600s.csv,local_only
results/gf_k1_f0_callback_isolation_round53/local_raw/f0_model_lp_audit,1512,141415407,8067e17e443d945b77f85e3a3cf986eff6627f9afc1fc0e73990dabece13de3d,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_f0_audits.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,f0_model_delta_audit.csv,local_only
results/gf_k1_f0_callback_isolation_round53/local_raw/k1_panel_runs,2079,551676007,bc06533577a833da19c25de62bcc2a35edfe9b1ac694213120de2f42103e68bd,sha256(sorted relpath\0size\0sha256\n),scripts/run_round53_k1_panel.py,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,sealed_v12_results.csv,local_only
results/gf_k1_f0_callback_isolation_round53/dev_smoke/callback_round53-c0-f0-clean,19,358779,98b7fd00ec84d66a5719f0cc25d20d336e15c452cc3fbb5d935eb7451b559f54,sha256(sorted relpath\0size\0sha256\n),development-only smoke commands; never official,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,no committed representative; excluded from claims,local_only
results/gf_k1_f0_callback_isolation_round53/dev_smoke/callback_round53-c1-precrush-only,19,358888,52450ee89f7d932a18da784ae41ca4aba67dcb806e7e4e6e5722eeafecf49d8e,sha256(sorted relpath\0size\0sha256\n),development-only smoke commands; never official,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,no committed representative; excluded from claims,local_only
results/gf_k1_f0_callback_isolation_round53/dev_smoke/callback_round53-c2-status-only,19,358857,660ad33a09ff4c5590d66920292613a27bd149abd05991d84b9c7eb849826e56,sha256(sorted relpath\0size\0sha256\n),development-only smoke commands; never official,b49cc5a5e631c6a8ce7a8bd4d0e6da44162800c97996494b1ee6a04071286c85,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,no committed representative; excluded from claims,local_only
