scope,instance_id,V,baseline_policy,candidate_policy,baseline_model_count,candidate_model_count,canonical_model_byte_identity,no_model_invoked_in_either_arm,controller_identity,policy_roundtrip,command_dispatch_uniform,pass
K1-sentinel,round52_validation_moderate_3600_V20_M3_seed1783533980,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,3,3,True,False,True,True,True,True
K1-sentinel,round52_validation_moderate_3600_V50_M3_seed664120090,50,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,3,3,True,False,True,True,True,True
fixed-interval-byte-audit,tight_T_seed3102,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,tight_T_seed3102,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,tight_T_seed3102,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,high_imbalance_seed3201,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,moderate_seed3301,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,tight_T_seed3101,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,high_imbalance_seed3202,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
fixed-interval-byte-audit,moderate_seed3302,20,interval-mip-v0,interval-mip-core-no-exhaustive-subset-duration,1,1,True,False,not_applicable,True,True,True
