state_id,instance,V,v0_lp_valid,f0_lp_valid,v0_lp_objective,f0_lp_objective,objective_difference_f0_minus_v0,v0_work,f0_work,v0_solver_time,f0_solver_time,v0_simplex_iterations,f0_simplex_iterations,v0_presolved_rows,f0_presolved_rows,v0_presolved_columns,f0_presolved_columns,v0_presolved_nonzeros,f0_presolved_nonzeros,pass
D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,12,True,True,0.020977495607439202,0.020977495607439202,0.0,0.30546943167341745,0.06078865937692022,0.1099998950958252,0.026999950408935547,679,647,1332,3509,17058,1343,165072,16242,True
D2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,10,True,True,0.1585879001582244,0.1585879001582244,0.0,0.14029614521788528,0.03808940610846679,0.04999995231628418,0.018999814987182617,720,686,5460,2409,982,982,38930,9782,True
D3,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,True,True,0.09394825539359326,0.09394825539359326,0.0,0.40948546293222304,0.08301701828652057,0.12800002098083496,0.03800010681152344,888,1080,1318,3497,16978,1342,164425,15684,True
D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,True,True,0.09394825539359326,0.09394825539359326,0.0,0.37576856407092385,0.11082275261107458,0.11800003051757812,0.04400014877319336,949,1226,1318,3489,17038,1338,164471,15704,True
D5,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,True,True,0.32496933294190883,0.32496933294190866,-1.6653345369377348e-16,0.43043980017334255,0.15456764778926801,0.1490001678466797,0.06400012969970703,1095,1686,1342,3633,17160,1343,164827,16087,True
D6,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,True,True,0.2092648777189227,0.2092648777189227,0.0,0.24585459430739942,0.07037685205593434,0.08300018310546875,0.031000137329101562,736,1140,944,2502,11538,965,109839,10581,True
D7,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,True,True,0.20926487771892155,0.20926487771892258,1.0269562977782698e-15,0.23147609321463677,0.06704417358015831,0.07999992370605469,0.03099989891052246,723,1060,944,2497,11595,961,109875,10566,True
D8,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,True,True,0.5280661958710968,0.5280661958710967,-1.1102230246251565e-16,0.23448448479963419,0.05362456548463694,0.07699990272521973,0.026000022888183594,756,892,964,2635,11706,969,110175,10942,True
D9,tight_T_seed3102,20,True,True,0.407329005858862,0.407329005858862,0.0,0.733208589092512,0.733208589092512,0.26600003242492676,0.26399993896484375,3843,3843,10305,10305,3267,3267,50902,50902,True
D10,tight_T_seed3102,20,True,True,0.436990114912075,0.436990114912075,0.0,0.8144403878217251,0.8144403878217251,0.3039999008178711,0.31399989128112793,3906,3906,10303,10303,3266,3266,50907,50907,True
D11,tight_T_seed3102,20,True,True,0.5083293653137351,0.5083293653137351,0.0,0.6584463794857671,0.6584463794857671,0.24500012397766113,0.25,3643,3643,10526,10526,3267,3267,51662,51662,True
