state_id,policy_label,policy,role,state_kind,process_cap_seconds,executable_sha256,input_sha256,model_sha256,status,certificate,certificate_class,false_certificate,engineering_gate,evidence_complete,cap_respected,native_status,lower_bound,verified_upper_bound,gap,gi_common_horizon,work,solver_time_seconds,process_time_seconds,nodes,simplex_iterations,average_iterations_per_node,peak_memory_gb,root_relaxation_bound_available,root_relaxation_bound,final_root_cut_bound_available,final_root_cut_bound,root_work,root_time_seconds,root_simplex_iterations,first_incumbent_work,first_incumbent_time_seconds,model_build_seconds,model_read_seconds,original_rows,original_columns,original_nonzeros,subset_duration_policy,subset_duration_rows,subset_duration_first_row_id,subset_duration_last_row_id,subset_duration_min_m,subset_duration_max_m,historical_m_may_be_unsafe,tailored_cut_policy,round53_callback_mode,callback_active,cbcut_symbol_loaded,cblazy_symbol_loaded,precrush_requested,precrush_effective,precrush_roundtrip_valid,mipnode_calls,mipnode_status_reads,relaxation_vector_reads,separator_calls,cut_submission_calls,callback_disabled_after_failure,callback_calls,root_callback_calls,tree_callback_calls,nonoptimal_mipnode_callbacks,relaxation_vector_failures,cuts_generated,cuts_violated,cuts_selected,cuts_added,duplicate_rejections,dominated_rejections,nonviolated_rejections,invalid_rejections,submission_failures,callback_failures,cut_pool_size,callback_overhead_seconds,cut_infrastructure_gate,failure_reason,artifact_dir
D1,production-v0,interval-mip-v0,retain historically preferable; severe fragmentation guard,parent,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.04500155005562825,0.04500155005562836,2.3128849657388788e-15,0.031029137524356504,4570.208157940831,1996.148999929428,1996.436711,45791,10247465,223.78775305190976,0.210931493,True,0.03178028,True,0.03278393326391182,18.288924836660055,8.6070003,1041,1348.4345140110383,593.3104975,0.1954518,0.0419487,16049,1404,164344,historical-100000,12285,2472,14756,581.835,2453.4,False,off,off,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/production-v0/D1__production-v0
D3,production-v0,interval-mip-v0,strong-control difficult parent,parent,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.5063433075652057,0.506343307565206,4.3852580177814796e-16,0.009614538080098697,349.01793759503596,184.364000082016,184.6525625,20399,1022267,50.11358399921565,0.149551727,True,0.109524,True,0.3416849343544502,8.373309807405313,5.1583561,1750,100.64865471779879,54.934615,0.203074,0.0410069,16042,1402,163775,historical-100000,12285,2468,14752,934.146,3149.11,False,off,off,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/production-v0/D3__production-v0
D4,production-v0,interval-mip-v0,strong-control exact midpoint left child,child,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.506343307565206,0.506343307565206,0,0.0035075853935796954,129.52841701703966,69.44199991226196,69.7302765,8604,374941,43.57752208275221,0.112288253,True,0.1102857,True,0.38053157659467485,7.784479710399424,4.5386057,1617,42.58309267055441,25.0434606,0.2001819,0.0416533,16042,1402,163775,historical-100000,12285,2468,14752,934.146,3149.11,False,off,off,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/production-v0/D4__production-v0
D12,production-v0,interval-mip-v0,numerical-endpoint parent,parent,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.6471164293678763,0.6471164334555021,6.316677466488924e-09,0.00889858347310274,257.2047290551788,125.3199999332428,125.6098911,8546,687516,80.448864966066,0.118586642,True,0.1228652,True,0.3725677026874226,9.953195095127542,6.3941562,1583,64.58138279446432,36.0682174,0.2016201,0.0411428,16042,1402,163484,historical-100000,12285,2468,14752,850.294,3386.66,False,off,off,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/production-v0/D12__production-v0
C1,production-v0,interval-mip-v0,numerical-endpoint midpoint left child,child,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,failed,False,certificate_rejected,False,True,True,True,OPTIMAL,0.6471162574841567,0.6471164334555021,2.7193150457407306e-07,0.0070085238042465765,126.10066761662394,63.98899984359741,64.2750691,2478,268144,108.20984665052461,0.115852976,True,0.1239739,True,0.4011989704936829,8.928015352512817,5.6219285,1789,24.36858087427405,14.0691759,0.1988457,0.041447,16042,1402,163484,historical-100000,12285,2468,14752,850.294,3386.66,False,off,off,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/production-v0/C1__production-v0
C2,production-v0,interval-mip-v0,numerical-endpoint midpoint right child,child,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,exact,True,strict_fixed_interval_cutoff_infeasible,False,True,True,True,INFEASIBLE,1e+100,0.6471164334555021,0,0.0004473684482046425,19.03364861525721,10.973000049591064,11.2542431,722,51591,71.45567867036011,0.094038493,True,0.4158535,True,0.5598539011679459,6.636691761522228,4.1925721,1688,-1,-1,0.1979085,0.0414338,16042,1402,163630,historical-100000,12285,2468,14752,850.294,3386.66,False,off,off,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/production-v0/C2__production-v0
D1,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,retain historically preferable; severe fragmentation guard,parent,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,dc3783a31dadf4393248bad739e2fafc8fc9a4759644092216c71504a3957d22,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.045001550055628343,0.04500155005562836,3.0838466209851717e-16,0.004750647380304357,431.25578561192424,277.8949999809265,277.9687112,34270,5396065,157.457397140356,0.075242422,True,0.03185463,True,0.032667933206677886,2.2742535608980408,1.4326268,982,29.023288373237232,18.7359525,0.0290051,0.0059166,3764,1404,16888,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/F0-CLEAN/D1__F0-CLEAN
D3,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,strong-control difficult parent,parent,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,edc9fc393ca44821eb4dd7c0cc5a2223ce0dc95a345548d153a4d22a5862d6ce,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.5063433075652058,0.506343307565206,2.1926290088907398e-16,0.006539154567676017,237.58013341940048,145.69400000572205,145.7739356,30167,1403089,46.510723638412834,0.092616799,True,0.1100648,True,0.3425681332295883,3.318805483459207,2.2144149,1553,8.35277558671614,5.6232392,0.0406195,0.0056361,3757,1402,16319,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/F0-CLEAN/D3__F0-CLEAN
D4,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,strong-control exact midpoint left child,child,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,94d48cf9b151bcb43b4a2c493c67e202ed3fcf0b2cd83004edee728784c0e5fb,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.5063433075652061,0.506343307565206,0,0.0021012302036918663,76.62864505252162,48.18899989128113,48.2583121,11847,433563,36.59685996454799,0.055245102,True,0.1112788,True,0.38063745683639394,2.943307922255173,1.8491923,1637,23.11334332648588,15.0122253,0.0278617,0.0055607,3757,1402,16319,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/F0-CLEAN/D4__F0-CLEAN
D12,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,numerical-endpoint parent,parent,3600,7f8bc2b5c36d552d5d9c405cb85bac64ce68e6fa4eae91b4dff33ad7f7a0de52,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,0486740306248d9b1014b7b92f713e250116700683e02ed48020b39f2ced3db8,exact,True,strict_fixed_interval_optimal,False,True,True,True,OPTIMAL,0.6471164334555012,0.6471164334555021,1.3725171758618295e-15,0.00416170861103927,115.8245560515515,66.83100008964539,66.9007594,8854,674544,76.18522701603794,0.05699993,True,0.1131645,True,0.37065295950614996,4.325816349552136,2.8553587,1559,7.8811039245944245,5.0858295,0.0318879,0.0056464,3757,1402,16028,off,0,-1,-1,0,0,False,f0-clean-none,c0-baseline,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,results/gf_k1_f0_callback_isolation_round53/local_raw/f0_key_long_3600s/F0-CLEAN/D12__F0-CLEAN
