state_id,instance,V,v0_rows,f0_rows,removed_rows,removed_row_percentage,v0_columns,f0_columns,v0_nonzeros,f0_nonzeros,removed_nonzeros,removed_nonzero_percentage
D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,12,16049,3764,12285,76.54682534737367,1404,1404,164344,16888,147456,89.72399357445359
D2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,10,5719,2650,3069,53.66322783703445,1037,1037,41151,10431,30720,74.65189181307866
D3,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,16042,3757,12285,76.58022690437602,1402,1402,163775,16319,147456,90.03571973744467
D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,16042,3757,12285,76.58022690437602,1402,1402,163775,16319,147456,90.03571973744467
D5,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,16042,3757,12285,76.58022690437602,1402,1402,163921,16465,147456,89.9555273576906
D6,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,10921,2731,8190,74.99313249702408,1014,1014,109433,11129,98304,89.83030712856268
D7,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,10921,2731,8190,74.99313249702408,1014,1014,109433,11129,98304,89.83030712856268
D8,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,10921,2731,8190,74.99313249702408,1014,1014,109575,11271,98304,89.7138945927447
D9,tight_T_seed3102,20,10870,10870,0,0.0,3372,3372,53465,53465,0,0.0
D10,tight_T_seed3102,20,10870,10870,0,0.0,3372,3372,53465,53465,0,0.0
D11,tight_T_seed3102,20,10870,10870,0,0.0,3372,3372,53705,53705,0,0.0
D12,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,16042,3757,12285,76.58022690437602,1402,1402,163484,16028,147456,90.19598248146607
D13,high_imbalance_seed3201,20,10884,10884,0,0.0,3376,3376,53713,53713,0,0.0
D14,moderate_seed3301,20,10891,10891,0,0.0,3378,3378,53488,53488,0,0.0
C1,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,16042,3757,12285,76.58022690437602,1402,1402,163484,16028,147456,90.19598248146607
C2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,16042,3757,12285,76.58022690437602,1402,1402,163630,16174,147456,90.11550449184135
C3,tight_T_seed3101,20,10905,10905,0,0.0,3382,3382,53522,53522,0,0.0
C4,high_imbalance_seed3202,20,10863,10863,0,0.0,3370,3370,53686,53686,0,0.0
C5,moderate_seed3302,20,10870,10870,0,0.0,3372,3372,53446,53446,0,0.0
C6,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,10,2298,1275,1023,44.516971279373365,479,479,14936,4696,10240,68.55918585966792
C7,round39_small_hard_V12_M1_Q20_slot05_seed180890838,12,5835,1740,4095,70.17994858611826,636,636,56029,6877,49152,87.7259990362134
C8,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,10,2312,1289,1023,44.24740484429066,483,483,15227,4987,10240,67.24896565311617
C9,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,8,2539,1774,765,30.129972430090586,726,726,13462,7318,6144,45.63957807160897
