state_id,instance,V,removed_rows,removed_nonzeros,big_m_valid_rows,big_m_valid_all,active_rows,active_percentage,nonzero_dual_rows,nonzero_dual_percentage,slack_p00,slack_p25,slack_p50,slack_p75,slack_p100,scaled_slack_p50,dual_abs_p50,dual_abs_p90,dual_abs_p100
D1,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,12,12285,147456,12285,True,0,0.0,0,0.0,69927.11127093156,454531.5020426782,556195.0531940298,659470.4320017092,1122523.6354861204,0.9260351688305495,0.0,0.0,0.0
D2,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,10,3069,30720,3069,True,0,0.0,0,0.0,14949.15540811584,327058.4469262582,418806.4461440133,510264.7176732321,837870.0876243324,0.8383968087112474,0.0,0.0,0.0
D3,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,12285,147456,12285,True,0,0.0,0,0.0,64725.82406964169,421614.0238983256,520863.80721804465,619730.8893335762,1041610.1684630878,0.8685410167266646,0.0,0.0,0.0
D4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,12285,147456,12285,True,0,0.0,0,0.0,62847.88754760066,427444.3547938119,526460.3910513849,625567.0503339062,1058064.1745208446,0.878208575937823,0.0,0.0,0.0
D5,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,12,12285,147456,12285,True,0,0.0,0,0.0,69821.03519977942,427998.6029813257,525119.0852778435,622484.9064376705,1056916.7515413568,0.875881431295724,0.0,0.0,0.0
D6,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,8190,98304,8190,True,0,0.0,0,0.0,51288.80561254677,404723.23475311353,504545.6379062673,605010.3571673704,1021847.3139255506,0.8388686026101859,0.0,0.0,0.0
D7,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,8190,98304,8190,True,0,0.0,0,0.0,55278.58278440182,404894.7674566403,502142.70790225524,599672.4499593768,1005054.2285559097,0.8381257164295881,0.0,0.0,0.0
D8,round39_small_hard_V12_M2_Q20_slot06_seed258908503,12,8190,98304,8190,True,0,0.0,0,0.0,45079.51642397859,398798.75780482223,496474.92059209896,594561.7693388565,993377.1561782812,0.8285318723821489,0.0,0.0,0.0
D9,tight_T_seed3102,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D10,tight_T_seed3102,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D11,tight_T_seed3102,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D12,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,12285,147456,12285,True,0,0.0,0,0.0,64409.807957265795,413216.4883355365,510213.37661309406,607047.8409686328,1020512.4627610819,0.8511187805513554,0.0,0.0,0.0
D13,high_imbalance_seed3201,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,moderate_seed3301,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,12285,147456,12285,True,0,0.0,0,0.0,51306.02360932817,411779.87659055187,510392.0516493782,608831.2435310133,1022011.3718840542,0.851309180177597,0.0,0.0,0.0
C2,round39_small_hard_V12_M3_Q20_slot07_seed621538683,12,12285,147456,12285,True,0,0.0,0,0.0,47248.01498124112,410898.20677783515,510296.4082494925,609723.4617634569,1020530.6850581545,0.8511436755867405,0.0,0.0,0.0
C3,tight_T_seed3101,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,high_imbalance_seed3202,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,moderate_seed3302,20,0,0,0,True,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,10,1023,10240,1023,True,0,0.0,0,0.0,60617.99378827985,320967.8241044143,412593.9577969991,503862.4071446239,824281.552766935,0.8253830975872885,0.0,0.0,0.0
C7,round39_small_hard_V12_M1_Q20_slot05_seed180890838,12,4095,49152,4095,True,0,0.0,0,0.0,60356.16966600488,410375.58586169814,510251.60706419783,610179.994668922,1019919.3385983328,0.8503832912942101,0.0,0.0,0.0
C8,round39_small_medium_V10_M1_Q20_slot04_seed1035775879,10,1023,10240,1023,True,0,0.0,0,0.0,60880.82736912131,300327.95003311103,386620.8992274352,470221.0266300866,769504.571771998,0.7693097434968016,0.0,0.0,0.0
C9,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,8,765,6144,765,True,0,0.0,0,0.0,2185.204484699425,256672.69724877743,339893.8097961539,432554.4022117588,731958.4709094652,0.8862463730893934,0.0,0.0,0.0
