row,finalization_source,abnormal_exit_detected,status
v12_m2,solver_final_json,False,optimal
v12_m1,solver_final_json,False,optimal
high_imbalance_seed3202,solver_final_json,False,optimal
tight_T_seed3101,solver_final_json,False,optimal
moderate_seed3301,solver_final_json,False,optimal
tight_T_seed3102,error_json,True,process_exit_without_json
high_imbalance_seed3201,solver_final_json,False,gcap_frontier_not_closed
