row,reason,path_checked
v4_smoke,input file not present in checkout,reference/generated/regen_V4_M1_average.txt
moderate_seed3302,time-limited scope after primary target certified; not rerun in this round,reference/hard_stress/V20_M3/moderate_seed3302.txt
