row,leaf,variant,status,solver_status,best_bound,lower_bound,gap_to_cutoff,runtime,proven_infeasible,timeout,nodes,gini_spread_cuts_added,required_movement_lb,required_movement_cuts_added,global_handling_capacity_lb,global_handling_capacity_cuts_added,transfer_subset_capacity_cuts_added,domains_tightened,families,json_path
moderate_seed3301_leaf1_all_cuts,leaf1,all_cuts,interval_closed,infeasible,0,0.0491525526647,0,0.2166247,True,False,0,190,24,3,2880,1,0,10,penalty_final_inventory_domain|duration_compatibility_singleton_transfer|required_station_movement|global_handling_capacity|gini_pairwise_spread,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_all_cuts.json
moderate_seed3301_leaf1_all_cuts_bound_focus,leaf1,all_cuts_bound_focus,interval_closed,infeasible,0,0.0491525526647,0,0.8415716,True,False,0,190,24,3,2880,1,0,10,penalty_final_inventory_domain|duration_compatibility_singleton_transfer|required_station_movement|global_handling_capacity|gini_pairwise_spread,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_all_cuts_bound_focus.json
moderate_seed3301_leaf1_baseline,leaf1,baseline,interval_unresolved_timeout,time limit exceeded,0.04279163016,0.04279163016,0.0063609125047,10.1054597,False,True,1476,0,0,0,0,0,0,0,none,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_baseline.json
moderate_seed3301_leaf1_gini_spread,leaf1,gini_spread,interval_unresolved_timeout,time limit exceeded,0.044365952956,0.044365952956,0.0047865897087,10.0955029,False,True,1566,190,0,0,0,0,0,0,gini_pairwise_spread,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_gini_spread.json
moderate_seed3301_leaf1_global_handling,leaf1,global_handling,interval_closed,infeasible,0,0.0491525526647,0,0.1966175,True,False,0,0,24,3,2880,1,0,10,penalty_final_inventory_domain|required_station_movement|global_handling_capacity,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_global_handling.json
moderate_seed3301_leaf1_penalty_domain,leaf1,penalty_domain,interval_unresolved_timeout,time limit exceeded,0.043005335105,0.043005335105,0.0061472075597,10.0971047,False,True,984,0,0,0,0,0,0,10,penalty_final_inventory_domain,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_penalty_domain.json
moderate_seed3301_leaf1_required_movement,leaf1,required_movement,interval_unresolved_timeout,time limit exceeded,0.043005335105,0.043005335105,0.0061472075597,10.0992496,False,True,984,0,24,3,2880,0,0,10,penalty_final_inventory_domain|required_station_movement,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_required_movement.json
moderate_seed3301_leaf1_transfer_subset,leaf1,transfer_subset,interval_unresolved_timeout,time limit exceeded,0.04279163016,0.04279163016,0.0063609125047,10.0952017,False,True,1476,0,0,0,0,0,0,0,duration_compatibility_singleton_transfer,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_transfer_subset.json
moderate_seed3301_leaf2_all_cuts,leaf2,all_cuts,interval_closed,infeasible,0,0.0491525526647,0,0.2104072,True,False,0,190,31,5,3720,1,0,17,penalty_final_inventory_domain|duration_compatibility_singleton_transfer|required_station_movement|global_handling_capacity|gini_pairwise_spread,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_all_cuts.json
moderate_seed3301_leaf2_all_cuts_bound_focus,leaf2,all_cuts_bound_focus,interval_closed,infeasible,0,0.0491525526647,0,0.7673237,True,False,0,190,31,5,3720,1,0,17,penalty_final_inventory_domain|duration_compatibility_singleton_transfer|required_station_movement|global_handling_capacity|gini_pairwise_spread,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_all_cuts_bound_focus.json
moderate_seed3301_leaf2_baseline,leaf2,baseline,interval_unresolved_timeout,time limit exceeded,0.047968217462,0.047968217462,0.0011843252027,10.0989707,False,True,994,0,0,0,0,0,0,0,none,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_baseline.json
moderate_seed3301_leaf2_gini_spread,leaf2,gini_spread,interval_unresolved_timeout,time limit exceeded,0.047962985463,0.047962985463,0.0011895572017,10.0971475,False,True,1016,190,0,0,0,0,0,0,gini_pairwise_spread,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_gini_spread.json
moderate_seed3301_leaf2_global_handling,leaf2,global_handling,interval_closed,infeasible,0,0.0491525526647,0,0.2044282,True,False,0,0,31,5,3720,1,0,17,penalty_final_inventory_domain|required_station_movement|global_handling_capacity,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_global_handling.json
moderate_seed3301_leaf2_penalty_domain,leaf2,penalty_domain,interval_unresolved_timeout,time limit exceeded,0.047968217462,0.047968217462,0.0011843252027,10.0970099,False,True,994,0,0,0,0,0,0,17,penalty_final_inventory_domain,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_penalty_domain.json
moderate_seed3301_leaf2_required_movement,leaf2,required_movement,interval_unresolved_timeout,time limit exceeded,0.047968217462,0.047968217462,0.0011843252027,10.0967053,False,True,994,0,31,5,3720,0,0,17,penalty_final_inventory_domain|required_station_movement,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_required_movement.json
moderate_seed3301_leaf2_transfer_subset,leaf2,transfer_subset,interval_unresolved_timeout,time limit exceeded,0.047968217462,0.047968217462,0.0011843252027,10.0843375,False,True,994,0,0,0,0,0,0,0,duration_compatibility_singleton_transfer,results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf2_transfer_subset.json
