vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,11,8,8,0,0,8,428.83928990029267,480.0,11
0,2,11,8,7,14,0,8,22,788.7242947966414,840.0,26
0,3,8,7,5,8,0,22,30,229.1536255977962,480.0,14
0,4,7,5,9,0,9,30,21,268.61368140026656,540.0,13
0,5,5,9,2,0,7,21,14,335.5256753779851,420.0,11
0,6,9,2,12,0,11,14,3,488.92940320663934,660.0,15
0,7,2,12,4,23,0,3,26,434.3039710363457,1380.0,42
0,8,12,4,10,0,9,26,17,528.8642631336244,540.0,13
0,9,4,10,1,7,0,17,24,276.05425287050707,420.0,13
0,10,10,1,3,0,8,24,16,403.01792742976437,480.0,14
0,11,1,3,6,0,8,16,8,168.01955236784912,480.0,12
0,12,3,6,0,18,0,8,26,491.36890036678733,1080.0,31
