"interval_id","pricing_calls","pricing_time_seconds","pricing_engine","final_pricing_engine","labels_generated","labels_kept","labels_expanded","labels_pruned_duration","labels_pruned_load","labels_pruned_station","labels_pruned_support","labels_pruned_reduced_cost","dominance_prunes","operation_dp_prunes","negative_columns_found","columns_inserted","best_reduced_cost","remaining_negative_rc","closure_status"
"7","3","27.8156806","exact-label","exact-label","199091172","46114446","4530353","0","0","0","0","3566842","193514522","0","36","32","-0.00426264354879","0","not_run"
"12","1","30.0535115","exact-label","exact-label","227393417","47574910","4778482","0","0","0","0","1082629","222022555","0","0","0","-0.0088398618421","0","not_run"
"2","1","5.7892828","exact-label","exact-label","6569984","0","6569983","26620428","0","0","0","0","0","1382313","0","0","0.00469307183545","0","not_run"
"9","1","19.1750832","exact-label","exact-label","16954425","0","16954425","62958276","0","0","0","0","0","0","0","0","0.0700591864494","0","not_run"
"8","1","15.6560547","exact-label","exact-label","15482880","0","15482879","53175572","0","0","0","0","0","3034663","0","0","-0.00859772173913","0","not_run"
