row,input_path,command_line,result_json,status
high_imbalance_seed3201,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\high_imbalance_seed3201.txt,,results\oracle_bound_merge_round\raw\high_imbalance_seed3201.json,gcap_frontier_not_closed
high_imbalance_seed3202,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\high_imbalance_seed3202.txt,,results\oracle_bound_merge_round\raw\high_imbalance_seed3202.json,optimal
moderate_seed3301,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\moderate_seed3301.txt,,results\oracle_bound_merge_round\raw\moderate_seed3301.json,gcap_frontier_not_closed
moderate_seed3301_smoke,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\moderate_seed3301.txt,,results\oracle_bound_merge_round\raw\moderate_seed3301_smoke.json,gcap_frontier_not_closed
tight_T_seed3101,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\tight_T_seed3101.txt,,results\oracle_bound_merge_round\raw\tight_T_seed3101.json,optimal
tight_T_seed3102,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\tight_T_seed3102.txt,,results\oracle_bound_merge_round\raw\tight_T_seed3102.json,gcap_frontier_not_closed
v12_m1_600s,E:\codes\ExactEBRP\reference\regen_candidate_V12_M1_average.txt,,results\oracle_bound_merge_round\raw\v12_m1_600s.json,optimal
v12_m2_300s,E:\codes\ExactEBRP\reference\regen_candidate_V12_M2_average.txt,,results\oracle_bound_merge_round\raw\v12_m2_300s.json,optimal
