"method","exit_code","json","log"
"pricing","0","results\optimization_update_round12\raw\rerun_smoke_pricing.json","results\optimization_update_round12\raw\rerun_smoke_pricing.log"
"ng-dssr-pricing-test","0","results\optimization_update_round12\raw\rerun_smoke_ng-dssr-pricing-test.json","results\optimization_update_round12\raw\rerun_smoke_ng-dssr-pricing-test.log"
"dssr-exactness-test","0","results\optimization_update_round12\raw\rerun_smoke_dssr-exactness-test.json","results\optimization_update_round12\raw\rerun_smoke_dssr-exactness-test.log"
"dual-stabilization-test","0","results\optimization_update_round12\raw\rerun_smoke_dual-stabilization-test.json","results\optimization_update_round12\raw\rerun_smoke_dual-stabilization-test.log"
"gcap-frontier","0","results\optimization_update_round12\raw\rerun_smoke_gcap-frontier.json","results\optimization_update_round12\raw\rerun_smoke_gcap-frontier.log"
