"run","exit_code","json","log"
"V20_pricing_hybrid_60s","0","results\optimization_update_round12\raw\V20_pricing_hybrid_60s.json","results\optimization_update_round12\raw\V20_pricing_hybrid_60s.log"
"V50_pricing_hybrid_60s","0","results\optimization_update_round12\raw\V50_pricing_hybrid_60s.json","results\optimization_update_round12\raw\V50_pricing_hybrid_60s.log"
"V100_pricing_hybrid_60s","0","results\optimization_update_round12\raw\V100_pricing_hybrid_60s.json","results\optimization_update_round12\raw\V100_pricing_hybrid_60s.log"
