vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,6,3,4,0,0,4,273.91884922937686,240.0,12
0,2,6,3,7,0,3,4,1,113.75770669701946,180.0,10
0,3,3,7,4,5,0,1,6,153.56022397029565,300.0,11
0,4,7,4,10,0,5,6,1,462.9550269040474,300.0,15
0,5,4,10,5,5,0,1,6,271.5279768943571,300.0,12
0,6,10,5,12,0,3,6,3,505.26502868047714,180.0,10
0,7,5,12,11,4,0,3,7,629.4513676079667,240.0,9
0,8,12,11,1,0,3,7,4,579.37034949939,180.0,8
0,9,11,1,9,3,0,4,7,438.6630376203066,180.0,9
0,10,1,9,2,0,4,7,3,353.7140066650816,240.0,12
0,11,9,2,8,2,0,3,5,227.94415628479456,120.0,5
0,12,2,8,0,0,5,5,0,409.03711777821997,300.0,14
