station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,12,9,9
2,7,5,5
3,7,10,10
4,10,15,15
5,7,10,10
6,16,12,12
7,16,11,11
8,9,14,14
9,8,12,12
10,17,12,12
11,5,8,8
12,13,9,9
