leaf_id,attempt,candidate_available,mapping_complete,submitted,status,mapping_seconds
L0,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,7.8e-06
L1,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,2.05e-05
L1,1,0,0,0,not_requested,0
