parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason,b_plus,eta_proof,eta_anchor,normalization_source,normalization_upper_bound
L2,true,1,1,1,0,,,0,"current_complete_child_infeasibility",4.27329,,,"proof",4.35692
L3,true,1,1,1,0,,,0,"current_complete_child_infeasibility",4.30298,,,"proof",4.35692
L3.0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",4.30298,,,"proof",4.35692
L3.0.0,true,1,0,0,0,0,,0,"current_child_gain_not_strict",4.30298,0,0,"proof",4.35692
