run_id,instance,decision_sequence,interval_id,variable,family,parent_lower,parent_upper,parent_width,width_tolerance,left_lower,left_upper,left_width,c_L,right_lower,right_upper,right_width,c_R,fixed_left,fixed_right,equal_weight
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","W_SP","ratio_penalty_product",3.2023356990788776,74.753810332336073,71.5514746332572,9.9999999999999995e-08,3.2023356990788776,74.753810332336073,71.5514746332572,0,3.2023356990788776,74.753810332336073,71.5514746332572,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_1","final_inventory",22,33,11,9.9999999999999995e-08,22,33,11,0,22,33,11,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_10","final_inventory",0,12,12,9.9999999999999995e-08,0,12,12,0,0,12,12,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_2","final_inventory",0,23,23,9.9999999999999995e-08,0,23,23,0,0,23,23,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_3","final_inventory",5,23,18,9.9999999999999995e-08,5,23,18,0,5,23,18,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_4","final_inventory",0,7,7,9.9999999999999995e-08,0,7,7,0,0,7,7,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_5","final_inventory",0,18,18,9.9999999999999995e-08,0,18,18,0,0,18,18,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_6","final_inventory",18,26,8,9.9999999999999995e-08,18,26,8,0,18,26,8,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_7","final_inventory",8,20,12,9.9999999999999995e-08,8,20,12,0,8,20,12,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_8","final_inventory",27,47,20,9.9999999999999995e-08,27,47,20,0,27,47,20,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","Y_9","final_inventory",0,15,15,9.9999999999999995e-08,0,15,15,0,0,15,15,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_10_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_10_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_10_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_10_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_10_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_1_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_1_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_1_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_1_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_1_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_1_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_2_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMF","round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt",1,"L0","bit_2_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
