run_id,instance,arm,flow_variant,checkpoint_seconds,status,not_observed_reason,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,plain,30,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,plain,60,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,plain,120,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,plain,300,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,plain,600,not_observed,plain_cplex_has_solver_final_observation_only,,,,,,,,,
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,plain,900,observed,,882.0456285,2.0454744604803006,2.4434031919432,0.16285839880009037,69112,34769,0,solver_final,full_precision_final_json
