interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,json_path,lp_path,log_path
1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.046725673294,0,600.1185245,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_891750607\interval_cutoff.cplex.log
1_d1_0,0.0122881381662,0.0184322072493,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,7.4387098,1,1,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_18432207_892350735\interval_cutoff.cplex.log
1_d1_1,0.0184322072493,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.047963415397,0,1800.0947155,1,1,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_24576276_892358180\interval_cutoff.cplex.log
1_d1_1_d2_0,0.0184322072493,0.0215042417909,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048783680966,0,1800.1001152,2,1_d1_1,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_21504242_894158281\interval_cutoff.cplex.log
1_d1_1_d2_0_d3_0,0.0184322072493,0.0199682245201,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.04890059983,0,1800.104734,3,1_d1_1_d2_0,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_0_d3_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_0_d3_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_19968225_895958389\interval_cutoff.cplex.log
1_d1_1_d2_0_d3_1,0.0199682245201,0.0215042417909,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048926237052,0,1800.723485,3,1_d1_1_d2_0,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_0_d3_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_0_d3_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_19968225_21504242_897758501\interval_cutoff.cplex.log
1_d1_1_d2_1,0.0215042417909,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048178453675,0,1800.3036658,2,1_d1_1,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_21504242_24576276_899559231\interval_cutoff.cplex.log
1_d1_1_d2_1_d3_0,0.0215042417909,0.0230402590616,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048388162833,0,1800.1450422,3,1_d1_1_d2_1,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_1_d3_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_1_d3_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_21504242_23040259_901359540\interval_cutoff.cplex.log
1_d1_1_d2_1_d3_1,0.0230402590616,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048771044139,0,1800.0962302,3,1_d1_1_d2_1,1800,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_1_d3_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_1_d1_1_d2_1_d3_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_23040259_24576276_903159693\interval_cutoff.cplex.log
2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048816699587,0,600.3480927,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_2.json,results\oracle_closure_round\raw\moderate_seed3301_oracle_deep_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_904959798\interval_cutoff.cplex.log
