interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,json_path,lp_path,log_path
1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.046733881097,0,600.1291294,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_883813719\interval_cutoff.cplex.log
1_d1_0,0.0122881381662,0.0184322072493,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,6.2861457,1,1,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_18432207_884413855\interval_cutoff.cplex.log
1_d1_1,0.0184322072493,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.047963415397,0,1200.095066,1,1,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_24576276_884420146\interval_cutoff.cplex.log
1_d1_1_d2_0,0.0184322072493,0.0215042417909,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048783101962,0,1200.1015486,2,1_d1_1,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_1_d2_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_1_d2_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_21504242_885620249\interval_cutoff.cplex.log
1_d1_1_d2_1,0.0215042417909,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048178453675,0,1200.1924204,2,1_d1_1,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_1_d2_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_1_d1_1_d2_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_21504242_24576276_886820359\interval_cutoff.cplex.log
2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048816699587,0,600.3573104,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_888020558\interval_cutoff.cplex.log
2_d1_0,0.0245762763324,0.0307203454155,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048463360039,0,1200.272716,1,2,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_30720345_888620922\interval_cutoff.cplex.log
2_d1_0_d2_0,0.0245762763324,0.0276483108739,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048597821117,0,1200.1043925,2,2_d1_0,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_0_d2_0.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_0_d2_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_27648311_889821201\interval_cutoff.cplex.log
2_d1_0_d2_1,0.0276483108739,0.0307203454155,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.4501294,2,2_d1_0,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_0_d2_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_0_d2_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_27648311_30720345_891021313\interval_cutoff.cplex.log
2_d1_1,0.0307203454155,0.0368644144986,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.4152858,1,2,1200,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_1.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_2_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_30720345_36864414_891021768\interval_cutoff.cplex.log
3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.6576325,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_3.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_891022189\interval_cutoff.cplex.log
9,0.0107521208954,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.8622134,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_9.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_9.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_10752121_12288138_891022853\interval_cutoff.cplex.log
10,0.00921610362464,0.00998411226003,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7935517,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_10.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_10.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9216104_9984112_891023719\interval_cutoff.cplex.log
11,0.00998411226003,0.0107521208954,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7593776,0,root,600,per-leaf,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_11.json,results\oracle_closure_round\raw\moderate_seed3301_oracle600_auto_oracle\interval_11.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9984112_10752121_891024519\interval_cutoff.cplex.log
