interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason
0,0,0.0122881381662,0,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,59.3963736,gamma_floor,gamma_floor,fixed,,,,0,0,0,
1,0.0122881381662,0.0245762763324,0.0122881381662,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.5400781,gamma_floor,gamma_floor,fixed,,,,0,0,0,
2,0.0245762763324,0.0368644144986,0.0245762763324,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.0860792,gamma_floor,gamma_floor,fixed,,,,0,0,0,
3,0.0368644144986,0.0491525526647,0.049153,0.0491525526647,bound_fathomed,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,57.7503167,interval_exact_cutoff_oracle,gamma_floor|interval_exact_cutoff_oracle,fixed,,,,0,0,0,
4,0,0.00614406908309,0.0491525526647,0.0491525526647,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,10.0871819,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
5,0.00614406908309,0.0122881381662,0.00614406908309,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.7402162,gamma_floor,gamma_floor,fixed,,,,0,0,0,
6,0.00614406908309,0.00921610362464,0.0491525526647,0.0491525526647,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,14.6508625,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
7,0.00921610362464,0.0122881381662,0.00921610362464,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.5223792,gamma_floor,gamma_floor,fixed,,,,0,0,0,
8,0.00921610362464,0.0107521208954,0.00921610362464,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.5222957,gamma_floor,gamma_floor,fixed,,,,0,0,0,
9,0.0107521208954,0.0122881381662,0.049153,0.0491525526647,bound_fathomed,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.3774319,interval_exact_cutoff_oracle,gamma_floor|interval_exact_cutoff_oracle,fixed,,,,0,0,0,
10,0.00921610362464,0.00998411226003,0.049153,0.0491525526647,bound_fathomed,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.5860715,interval_exact_cutoff_oracle,gamma_floor|interval_exact_cutoff_oracle,fixed,,,,0,0,0,
11,0.00998411226003,0.0107521208954,0.049153,0.0491525526647,bound_fathomed,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,49.8466834,interval_exact_cutoff_oracle,gamma_floor|interval_exact_cutoff_oracle,fixed,,,,0,0,0,
