id,left,right,left_certificate,right_certificate,left_LB,right_LB,left_UB,right_UB,left_gap,right_gap,certified_time_ratio,left_process,right_process,common_cap,both_capped
C1,P-GRB,K1-H,False,False,0.19098152657826464,0.19780568075471003,0.26181696296169055,0.26181696296169055,0.27055327348591485,0.24448867438870547,,117.0212322,117.0822094,120,True
C2,P-GRB,K1-H,False,False,0.7415061606601866,0.7693599062670929,0.8299634131717752,0.8299634131717752,0.10657970111422356,0.07301949211602098,,117.2108269,117.0253488,120,True
D1,P-GRB,K1-H,True,True,0,0,0,0,0,0,10.094999697589888,0.1537647,1.5522546,120,False
D2,P-GRB,K1-H,True,True,0.02254058441094787,0.022540584415584423,0.022540584415584423,0.022540584415584423,2.0569808410101897e-10,0.0,3.1461844216155668,9.5553246,30.0628134,120,False
D3,P-GRB,K1-H,False,False,0.04051406119083451,0.042412744788009105,0.046027033530220335,0.046027033530220335,0.11977683366811218,0.07852534619330112,,117.018105,117.027691,120,True
D4,P-GRB,K1-H,False,False,0.11564055094063024,0.47958324908848454,0.506343307565206,0.506343307565206,0.7716163140445215,0.052849633987263285,,117.0154559,117.0349764,120,True
D5,P-GRB,K1-H,False,False,0.13135055881100835,0.181648425416511,0.31553505287006817,0.25424399355466243,0.5837211821119087,0.28553503712386974,,117.0169204,117.0267633,120,True
D6,P-GRB,K1-H,False,False,0.14044401652783156,0,0.16053752695661427,1.0756498987534941,0.12516394645977724,1.0,,117.0215871,117.0638346,120,True
D7,P-GRB,K1-H,False,False,0.19433346213470226,0,0.5166502806573294,1.5423858798368388,0.6238587891843327,1.0,,117.0295796,117.1284919,120,True
D8,P-GRB,K1-H,True,True,0.6158836280552391,0.6158836280552407,0.6158836280552391,0.6158836280552391,0.0,0.0,1.2187240170351388,2.0648144,2.5164389,120,False
C1,K1-H,K1-S,False,False,0.19780568075471003,0.19548547969585406,0.26181696296169055,0.26181696296169055,0.24448867438870547,0.25335059468832893,,117.0822094,117.0244649,120,True
C2,K1-H,K1-S,False,False,0.7693599062670929,0.7720667080150025,0.8299634131717752,0.8347878239622741,0.07301949211602098,0.07513420074764542,,117.0253488,117.0275993,120,True
D1,K1-H,K1-S,True,True,0,0,0,0,0,0,0.2227990820578016,1.5522546,0.3458409,120,False
D2,K1-H,K1-S,True,True,0.022540584415584423,0.022540584415584403,0.022540584415584423,0.022540584415584423,0.0,9.235200528930898e-16,0.24810287715786442,30.0628134,7.4586705,120,False
D3,K1-H,K1-S,False,False,0.042412744788009105,0.038509771153545695,0.046027033530220335,0.04500155005562836,0.07852534619330112,0.14425678435649203,,117.027691,117.0247226,120,True
D4,K1-H,K1-S,False,True,0.47958324908848454,0.5063433072459947,0.506343307565206,0.506343307565206,0.052849633987263285,6.304244733733646e-10,,117.0349764,90.2596,120,False
D5,K1-H,K1-S,False,False,0.181648425416511,0.19697628849249138,0.25424399355466243,0.24340221626021397,0.28553503712386974,0.190737489908843,,117.0267633,117.0235929,120,True
D6,K1-H,K1-S,False,False,0,0.1382120953969077,1.0756498987534941,0.1885912102417383,1.0,0.26713394956347164,,117.0638346,117.048572,120,True
D7,K1-H,K1-S,False,False,0,0.195016069495007,1.5423858798368388,0.6717608136597502,1.0,0.709694186487955,,117.1284919,117.0842484,120,True
D8,K1-H,K1-S,True,True,0.6158836280552407,0.6158836280552382,0.6158836280552391,0.6158836280552391,0.0,1.4421205228408244e-15,0.6247876314421941,2.5164389,1.5722399,120,False
C1,K1-S,F0-Single-S,False,False,0.19548547969585406,0.19548547969585406,0.26181696296169055,0.26181696296169055,0.25335059468832893,0.25335059468832893,,117.0244649,117.0190833,120,True
C2,K1-S,F0-Single-S,False,False,0.7720667080150025,0.7732531116584328,0.8347878239622741,0.8299634131717752,0.07513420074764542,0.06832867643721696,,117.0275993,117.0229402,120,True
D1,K1-S,F0-Single-S,True,True,0,0,0,0,0,0,0.8900482852086031,0.3458409,0.3078151,120,False
D2,K1-S,F0-Single-S,True,True,0.022540584415584403,0.022540584415584403,0.022540584415584423,0.022540584415584423,9.235200528930898e-16,9.235200528930898e-16,0.9670850321112858,7.4586705,7.2131686,120,False
D3,K1-S,F0-Single-S,False,False,0.038509771153545695,0.03833111866437984,0.04500155005562836,0.04500155005562836,0.14425678435649203,0.1482267029247417,,117.0247226,117.0240269,120,True
D4,K1-S,F0-Single-S,True,True,0.5063433072459947,0.5063433072459947,0.506343307565206,0.506343307565206,6.304244733733646e-10,6.304244733733646e-10,0.9976775423334471,90.2596,90.0499759,120,False
D5,K1-S,F0-Single-S,False,False,0.19697628849249138,0.19697628849249138,0.24340221626021397,0.24340221626021397,0.190737489908843,0.190737489908843,,117.0235929,117.024619,120,True
D6,K1-S,F0-Single-S,False,False,0.1382120953969077,0.1382120953969077,0.1885912102417383,0.1885912102417383,0.26713394956347164,0.26713394956347164,,117.048572,117.0656309,120,True
D7,K1-S,F0-Single-S,False,False,0.195016069495007,0.1950760955582813,0.6717608136597502,0.6712367708118434,0.709694186487955,0.7093781150839787,,117.0842484,117.0892276,120,True
D8,K1-S,F0-Single-S,True,True,0.6158836280552382,0.6158836280552382,0.6158836280552391,0.6158836280552391,1.4421205228408244e-15,1.4421205228408244e-15,0.9809001794191841,1.5722399,1.5422104,120,False
