id,arm,stage,sample,G,continuous_inventory_gini,Gini_representation_deficit,fractional_inventory,fractional_arcs,fractional_visits,fractional_pickup,fractional_drop,fractional_modes,max_GY_deviation,sum_GY_deviation,operation_cancellation_excess,pair_candidates,pairs_passing_necessary_visit_test,pair_raw_violations,pair_scaled_violations,max_pair_raw_violation
D2,Compact,diagnostic_current_roots,plain_LP,0.0020843552786764612,0.0053977272727272745,0.0033133719940508133,0,53,24,2,8,10,0.18342326452352858,1.2005886405176416,0,570,70,0,0,0
D2,F0,diagnostic_current_roots,plain_LP,0.0020843552786764617,0.0053977272727272745,0.003313371994050813,0,54,24,1,3,10,0.18342326452352864,1.200588640517642,0.005263157894738413,570,40,0,0,0
D3,Compact,diagnostic_current_roots,plain_LP,0.010706260750578267,0.034684684684684705,0.023978423934106437,0,40,22,6,14,8,0.5781380805312265,4.614398383499234,0.5889134790387276,198,0,0,0,0
D3,F0,diagnostic_current_roots,plain_LP,0.010706260750578261,0.034684684684684684,0.023978423934106423,0,34,16,4,7,7,0.5781380805312262,4.614398383499231,0,198,0,0,0,0
D4,Compact,diagnostic_current_roots,plain_LP,0.011803992770603755,0.03401093406058623,0.022206941289982476,2,52,25,12,13,12,0.5429836674477728,4.591753187764861,8.881784197001252e-16,198,0,0,0,0
D4,F0,diagnostic_current_roots,plain_LP,0.021335320705686157,0.062465425435051763,0.04113010472936561,2,54,24,11,12,12,1.0027600731672495,8.299439754511916,3.552713678800501e-15,198,0,0,0,0
D2,Compact,diagnostic_roots,plain_LP,0.0020843552786764612,0.0053977272727272745,0.0033133719940508133,0,53,24,2,8,10,0.18342326452352858,1.2005886405176416,0,570,70,0,0,0
D2,F0,diagnostic_roots,plain_LP,0.0020843552786764617,0.0053977272727272745,0.003313371994050813,0,82,39,14,23,15,0.18342326452352864,1.200588640517642,1.3783984979184547,570,56,0,0,0
D3,Compact,diagnostic_roots,plain_LP,0.010706260750578267,0.034684684684684705,0.023978423934106437,0,40,22,6,14,8,0.5781380805312265,4.614398383499234,0.5889134790387276,198,0,0,0,0
D3,F0,diagnostic_roots,plain_LP,0.010706260750578261,0.034684684684684684,0.023978423934106423,0,34,15,6,4,8,0.5781380805312262,4.614398383499231,0,198,0,0,0,0
D4,Compact,diagnostic_roots,plain_LP,0.011803992770603755,0.03401093406058623,0.022206941289982476,2,52,25,12,13,12,0.5429836674477728,4.591753187764861,8.881784197001252e-16,198,0,0,0,0
D4,F0,diagnostic_roots,plain_LP,0.021335320705686157,0.062465425435051763,0.04113010472936561,2,47,21,9,9,10,1.0027600731672495,8.299439754511916,3.552713678800501e-15,198,0,0,0,0
D3,Monitor,diagnostic_current_cuts,native_node_count_0,0.0190058494609019,0.034684684684684684,0.015678835223782783,0,38,19,10,7,11,0.41812868813984183,2.717836472908972,0.30696943258688736,198,1,0,0,0
D3,Monitor,diagnostic_current_cuts,native_node_count_1,0.007276009176954517,0.010597514616873627,0.0033215054399191105,9,30,10,8,7,7,0.11617837440205285,0.6976229650716518,2.9023666438784153,198,27,0,0,0
D3,Monitor,diagnostic_current_cuts,native_node_count_10,0.016250816442858466,0.022091255834806027,0.0058404393919475606,3,20,8,4,6,3,0.276263879528594,1.2250722468691249,2.9823888688384947,198,20,0,0,0
D3,Monitor,diagnostic_current_cuts,native_node_count_100,0.04522750309057392,0.046133431210903575,0.0009059281203296563,2,20,5,2,2,1,0.19530452080973748,0.22020574886395194,6.000000000000009,198,21,0,0,0
D4,Monitor,diagnostic_current_cuts,native_node_count_0,0.03634217589401345,0.07418051686061734,0.03783834096660389,6,58,28,14,14,14,1.3810026839725111,7.7408834654248775,0,198,7,0,0,0
D4,Monitor,diagnostic_current_cuts,native_node_count_1,0.10981708496261954,0.1465746764330227,0.03675759147040315,10,49,27,14,15,15,1.7766065238474793,7.85413734744253,0.5150606205480943,198,3,0,0,0
D4,Monitor,diagnostic_current_cuts,native_node_count_10,0.1227700346852491,0.1454310443653934,0.022661009680144298,10,53,28,14,14,14,1.05768591930787,4.25140018422998,0.003018197874347244,198,13,0,0,0
D4,Monitor,diagnostic_current_cuts,native_node_count_100,0.12980537871476297,0.16044484829169314,0.030639469576930173,8,35,13,7,9,7,2.02633566254831,7.823513336820105,0.45566235678317596,198,21,0,0,0
D3,Monitor,diagnostic_cuts,native_node_count_0,0.01900584946090189,0.03468468468468469,0.0156788352237828,0,32,18,8,8,10,0.4181286881398416,2.7178364729089703,0.41510452003866355,198,0,0,0,0
D3,Monitor,diagnostic_cuts,native_node_count_1,0.005699251166208601,0.008352077530286727,0.0026528263640781258,9,37,12,8,11,8,0.08943352650332627,0.56923013318347,1.7796204760502619,198,33,0,0,0
D3,Monitor,diagnostic_cuts,native_node_count_10,0.016719794430003806,0.023589336953148396,0.0068695425231445895,6,33,11,4,8,5,0.2842365053100634,1.3861691628334778,0,198,24,0,0,0
D3,Monitor,diagnostic_cuts,native_node_count_100,0.015322695602897514,0.017149146803628793,0.0018264512007312786,0,27,10,2,6,4,0.1991950428376677,0.45968086808692554,7.999999999999989,198,18,0,0,0
