id,arm,stage,scope,cap,schema,round59_cut_execution,round59_added_rows_status,round59_added_rows_count,round59_mip_focus,state_id,policy,status,certificate,certificate_class,false_certificate,native_status,lower_bound,frozen_cutoff,final_incumbent_available,final_incumbent,verified_upper_bound,gap,work,solver_time_seconds,process_time_seconds,nodes,simplex_iterations,average_iterations_per_node,peak_memory_gb,root_relaxation_bound_available,root_relaxation_bound,final_root_cut_bound_available,final_root_cut_bound,root_work,root_time_seconds,root_simplex_iterations,first_incumbent_work,first_incumbent_time_seconds,model_build_seconds,model_read_seconds,adaptive_branching,adaptive_root_lp_work,adaptive_child_probe_work,adaptive_terminal_mip_work,adaptive_total_work,adaptive_fallback_reason,tailored_cut_policy,round53_callback_mode,round53_mipnode_calls,round53_mipnode_status_reads,round53_relaxation_vector_reads,round53_separator_calls,round53_cut_submission_calls,round53_callback_overhead_seconds,tailored_cut_callback_active,tailored_cut_infrastructure_gate,gurobi_cbcut_symbol_loaded,gurobi_cblazy_symbol_loaded,gurobi_precrush_requested,gurobi_precrush_effective,gurobi_precrush_roundtrip_valid,tailored_cut_callback_disabled_after_failure,tailored_cut_callback_calls,tailored_cut_root_callback_calls,tailored_cut_tree_callback_calls,tailored_cut_nonoptimal_mipnode_callbacks,tailored_cut_relaxation_vector_failures,tailored_cuts_generated,tailored_cuts_violated,tailored_cuts_selected,tailored_cuts_added,tailored_cut_duplicate_rejections,tailored_cut_dominated_rejections,tailored_cut_nonviolated_rejections,tailored_cut_invalid_rejections,tailored_cut_submission_failures,tailored_cut_callback_failures,tailored_cut_pool_size,tailored_cut_callback_overhead_seconds,model_sha256,engineering_gate,failure_reason,artifact_dir,result_sha256,model_identity_scope,display_arm,valid,objective_available,objective,presolved_model_size_available,presolved_rows,presolved_columns,presolved_nonzeros,constraint_evidence_available,constraint_evidence_count
D3,F0,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,off,not_requested,0,-1,D3-cuts,interval-mip-core-no-exhaustive-subset-duration,capped,False,certificate_rejected,False,TIME_LIMIT,0.038629880805387005,0.5509176727016294,True,0.04500155005562836,0.04500155005562836,0.1415877729181563,186.9832587390939,117.92900013923645,118.0260068,11076,1257251,113.5112856626941,0.085196881,True,0.03081566,True,0.032479286994541376,2.676871252409295,2.2516161,718,0.13365615977788595,0.0802395,0.0382358,0.0075368,False,0,0,186.9832587390939,186.9832587390939,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D3\F0,06a70867be1d50b2eb97eaa316f2b28866c90eabb67d5f8ab15756dadb2f96d2,current_K1_F0,F0,,,,,,,,,
D3,Monitor,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,off,not_requested,0,-1,D3-cuts,interval-mip-core-no-exhaustive-subset-duration,capped,False,certificate_rejected,False,TIME_LIMIT,0.038629880805387005,0.5509176727016294,True,0.04500155005562836,0.04500155005562836,0.1415877729181563,187.11567476156003,117.92799997329712,118.0261854,11082,1258210,113.53636527702581,0.085196891,True,0.03081566,True,0.032479286994541376,2.676871252409295,2.1974694,718,0.13365615977788595,0.0785569,0.0360651,0.0069218,False,0,0,187.11567476156003,187.11567476156003,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D3\Monitor,55b8b1d1e9d683bfc50fb502f9de483e2ca3550d6117a9f3ad6dee7fcf7566cc,current_K1_F0,Monitor,,,,,,,,,
D3,Pool,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,pool,round59_Lazy_minus1_readback_valid,198,-1,D3-cuts,interval-mip-core-no-exhaustive-subset-duration,capped,False,certificate_rejected,False,TIME_LIMIT,0.037564651590332336,0.5509176727016294,True,0.056604475850865574,0.056604475850865574,0.33636605541047665,187.36391738416302,117.92699980735779,118.0247777,12372,1373781,111.03952473326868,0.084400868,True,0.03081566,True,0.03205478038570798,4.732725101862723,3.7279292,812,0.13448032103123206,0.0804028,0.0361595,0.0069139,False,0,0,187.36391738416302,187.36391738416302,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D3\Pool,257b0f42037249659b1692b638404bccd33f5c12a61ce1efca2e1fb4aed56618,current_K1_F0,Pool,,,,,,,,,
D3,Static,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,static,added_to_fresh_model_and_count_read_back,198,-1,D3-cuts,interval-mip-core-no-exhaustive-subset-duration,capped,False,certificate_rejected,False,TIME_LIMIT,0.04069291252180263,0.5509176727016294,True,0.04500155005562836,0.04500155005562836,0.09574420277745184,180.75929031989762,117.92900013923645,118.0239631,20632,2172575,105.30123109732455,0.081471894,True,0.03081566,True,0.03206832378809621,2.7793122520685496,2.2551352,717,0.13722629769011743,0.0791174,0.0356074,0.0069159,False,0,0,180.75929031989762,180.75929031989762,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D3\Static,cd2b03ac9a7088d4a6b52c686f7abf4399f1a12285be1c2bcb4361dad8d0a8e3,current_K1_F0,Static,,,,,,,,,
D4,F0,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,off,not_requested,0,-1,D4-cuts,interval-mip-core-no-exhaustive-subset-duration,exact,True,strict_fixed_interval_optimal,False,OPTIMAL,0.5063433072459947,1.1572841805002207,True,0.506343307565206,0.506343307565206,6.304244733733646e-10,140.87267731766892,90.19799995422363,90.2910346,19132,675029,35.282720050177716,0.091576033,True,0.1078381,True,0.36524073389288925,3.070536170950688,2.2015838,1782,0.12962988631197642,0.08068,0.0327035,0.0063685,False,0,0,140.87267731766892,140.87267731766892,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D4\F0,1d66b39bafada17b56a10e38df64796c0b3f00f157e9af41cf9dccfc306de902,current_K1_F0,F0,,,,,,,,,
D4,Monitor,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,off,not_requested,0,-1,D4-cuts,interval-mip-core-no-exhaustive-subset-duration,exact,True,strict_fixed_interval_optimal,False,OPTIMAL,0.5063433072459947,1.1572841805002207,True,0.506343307565206,0.506343307565206,6.304244733733646e-10,140.87267731766892,90.52199983596802,90.6125767,19132,675029,35.282720050177716,0.091576043,True,0.1078381,True,0.36524073389288925,3.070536170950688,2.2143145,1782,0.12962988631197642,0.081866,0.0312673,0.0062451,False,0,0,140.87267731766892,140.87267731766892,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D4\Monitor,38193acd57d77adf652a30caca7bb5ebc03eaf2ff79a6f5588e0fe7682d66993,current_K1_F0,Monitor,,,,,,,,,
D4,Pool,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,pool,round59_Lazy_minus1_readback_valid,198,-1,D4-cuts,interval-mip-core-no-exhaustive-subset-duration,exact,True,strict_fixed_interval_optimal,False,OPTIMAL,0.506343307565206,1.1572841805002207,True,0.506343307565206,0.506343307565206,0,114.04288336164791,70.42499995231628,70.5158157,15849,693808,43.77613729572844,0.059140512,True,0.1078387,True,0.36860623395806624,2.8409712586691596,2.1116497,1734,0.13644142467598666,0.0838199,0.0326961,0.0065992,False,0,0,114.04288336164791,114.04288336164791,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D4\Pool,78d27d8f6fdcc37ea47981367fd43901c610cfc23b059875029c77e1bc4ce7d0,current_K1_F0,Pool,,,,,,,,,
D4,Static,diagnostic_current_cuts,restricted_state_only,120,round50-fixed-interval-result-v1,static,added_to_fresh_model_and_count_read_back,198,-1,D4-cuts,interval-mip-core-no-exhaustive-subset-duration,exact,True,strict_fixed_interval_optimal,False,OPTIMAL,0.5063433075652058,1.1572841805002207,True,0.506343307565206,0.506343307565206,2.1926290088907398e-16,145.2417273264468,93.67899990081787,93.7743149,21823,782396,35.851899372221965,0.084084805,True,0.1078368,True,0.3649918388070925,3.0516537716987755,2.1853506,1741,0.1323811837968797,0.0834515,0.0313678,0.0063457,False,0,0,145.2417273264468,145.2417273264468,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_cuts\D4\Static,9cd14ea66878361dea6226c164ff37ea669890d4c58d4ace052bc31a7c5e89a9,current_K1_F0,Static,,,,,,,,,
D3,Focus1,diagnostic_current_focus,restricted_state_only,120,round50-fixed-interval-result-v1,off,not_requested,0,1,D3-focus,interval-mip-core-no-exhaustive-subset-duration,capped,False,certificate_rejected,False,TIME_LIMIT,0.03811401542670484,0.5509176727016294,True,0.04530861852692135,0.04530861852692135,0.1587910497854098,183.42535137065923,117.92799997329712,118.0220731,15492,2108789,136.12115930802995,0.052977885,True,0.03081566,True,0.03191504627929076,1.688652235518813,1.2190261,718,0.13365615977788595,0.0779244,0.0352883,0.0070921,False,0,0,183.42535137065923,183.42535137065923,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_focus\D3\Focus1,9a0b53ad6cfc1e4f9ca808078af2a0697e49e9b5614d83b49e0bc2b4ed16b4cd,current_K1_F0,Focus1,,,,,,,,,
D4,Focus1,diagnostic_current_focus,restricted_state_only,120,round50-fixed-interval-result-v1,off,not_requested,0,1,D4-focus,interval-mip-core-no-exhaustive-subset-duration,capped,False,certificate_rejected,False,TIME_LIMIT,0.45171862206437396,1.1572841805002207,True,0.506343307565206,0.506343307565206,0.10788072970392233,168.31604001428906,117.9359998703003,118.0218375,15399,807446,52.4349633093058,0.058672919,True,0.1078381,True,0.3555454379194642,1.9836051297982034,1.2965644,1782,0.12962988631197642,0.0806378,0.0328002,0.0063407,False,0,0,168.31604001428906,168.31604001428906,not_applicable,f0-clean-none,c0-baseline,0,0,0,0,0,0,False,True,True,True,-1,-1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,True,none,results\gf_core_attribution_native_round59\local_raw\diagnostic_current_focus\D4\Focus1,06dde60eefbaebcc21b2bb4d3af58966e27e33b234007c1d3124f2e8579644e3,current_K1_F0,Focus1,,,,,,,,,
