id,arm,stage,domain_width_sum,domain_width_max,domain_widths
D2,Compact,diagnostic_current_roots,734,76,"[34, 52, 32, 32, 57, 50, 32, 20, 28, 28, 29, 76, 24, 28, 37, 26, 34, 63, 24, 28]"
D2,F0,diagnostic_current_roots,558,37,"[29, 26, 25, 37, 24, 27, 29, 24, 28, 32, 24, 35, 26, 30, 29, 33, 27, 28, 20, 25]"
D3,Compact,diagnostic_current_roots,435,50,"[36, 27, 34, 26, 23, 37, 44, 43, 21, 47, 50, 47]"
D3,F0,diagnostic_current_roots,348,37,"[27, 31, 37, 33, 27, 30, 26, 21, 35, 31, 30, 20]"
D4,Compact,diagnostic_current_roots,413,50,"[27, 39, 38, 44, 24, 22, 27, 43, 50, 33, 44, 22]"
D4,F0,diagnostic_current_roots,214,23,"[14, 17, 21, 20, 18, 19, 23, 13, 15, 16, 15, 23]"
D2,Compact,diagnostic_roots,734,76,"[34, 52, 32, 32, 57, 50, 32, 20, 28, 28, 29, 76, 24, 28, 37, 26, 34, 63, 24, 28]"
D2,F0,diagnostic_roots,558,37,"[29, 26, 25, 37, 24, 27, 29, 24, 28, 32, 24, 35, 26, 30, 29, 33, 27, 28, 20, 25]"
D3,Compact,diagnostic_roots,435,50,"[36, 27, 34, 26, 23, 37, 44, 43, 21, 47, 50, 47]"
D3,F0,diagnostic_roots,348,37,"[27, 31, 37, 33, 27, 30, 26, 21, 35, 31, 30, 20]"
D4,Compact,diagnostic_roots,413,50,"[27, 39, 38, 44, 24, 22, 27, 43, 50, 33, 44, 22]"
D4,F0,diagnostic_roots,214,23,"[14, 17, 21, 20, 18, 19, 23, 13, 15, 16, 15, 23]"
