run_id,elapsed_time,node_count,open_nodes,simplex_iterations,native_tree_memory_mb,source
smoke,1.0224987999999999,0,1,909,,generic_callback_does_not_expose_tree_memory;parse_cplex_log
smoke,12.634154799999999,316,95,22403,,generic_callback_does_not_expose_tree_memory;parse_cplex_log
