variant,budget_seconds,lower_bound,gap_to_cutoff,sp_mccormick_rows,sp_estimator_rows,objective_estimator_rows,variable_s_centering_rows,proof_status
best_combined_paper_safe,60,0.0453679738658,0.0037845787988999985,4,1,,,paper_safe
best_combined_paper_safe,300,0.0476339655828,0.0015185870818999955,4,1,,,paper_safe
best_new_combined_paper_safe,60,0.0454067389637,0.0037458137010000017,4,1,,,paper_safe
best_new_combined_paper_safe,300,0.0476256837823,0.001526868882400001,4,1,,,paper_safe
adaptive_denominator_estimator,60,0.0454438670364,0.0037086856282999986,4,1,,,paper_safe
adaptive_denominator_estimator,300,0.0476356289487,0.0015169237159999988,4,1,,,paper_safe
best_combined_paper_safe,1200,0.048388162834,0.0007643898306999991,4,1,,,paper_safe
best_new_combined_paper_safe,1200,0.048388162834,0.0007643898306999991,4,1,,,paper_safe
adaptive_denominator_estimator,1200,0.048388162834,0.0007643898306999991,4,1,,,paper_safe
best_new_combined_paper_safe,3600,0.0487233640003,0.0004291886643999973,4,1,,,paper_safe
best_new_combined_paper_safe,300,0.0489209015481,0.00023165111659999987,4,1,,,paper_safe
best_new_combined_paper_safe,300,2.27669085412,0.16671233781999995,4,1,,,paper_safe
best_new_combined_paper_safe,300,0.517898731718,0.0828057049669999,4,1,,,paper_safe
best_new_combined_paper_safe,300,0.14256670012,0.05306950642899999,4,1,,,paper_safe
