variant,budget_seconds,lower_bound,gap_to_cutoff,subset_cross_h_rows,local_q_rows,local_centering_rows,transfer_rows
plain_fixed_interval_mip,60,0.044318362677,0.004834189987700001,0,0,0,0.0
plain_fixed_interval_mip,300,0.045482848644,0.0036697040207,0,0,0,0.0
static_tailored_compact_bc,60,0.0460751920577,0.003077360607,0,0,40,0.0
static_tailored_compact_bc,300,0.0483291997208,0.0008233529438999992,0,0,40,0.0
best_combined_paper_safe,60,0.0453679738658,0.0037845787988999985,2700,20,40,1.0
best_combined_paper_safe,300,0.0476339655828,0.0015185870818999955,2700,20,40,1.0
best_new_combined_paper_safe,60,0.0454067389637,0.0037458137010000017,2700,20,40,1.0
best_new_combined_paper_safe,300,0.0476256837823,0.001526868882400001,2700,20,40,1.0
adaptive_denominator_estimator,60,0.0454438670364,0.0037086856282999986,2700,20,40,1.0
adaptive_denominator_estimator,300,0.0476356289487,0.0015169237159999988,2700,20,40,1.0
adaptive_low_gini_centering,60,0.0454438670364,0.0037086856282999986,2700,20,40,1.0
adaptive_low_gini_centering,300,0.0476149931452,0.0015375595194999994,2700,20,40,1.0
adaptive_transfer_inventory,60,0.0454217989606,0.003730753704099997,2700,20,40,1.0
adaptive_transfer_inventory,300,0.0476343748841,0.0015181777805999969,2700,20,40,1.0
plain_fixed_interval_mip,1200,0.047531814383,0.0016207382817000002,0,0,0,0.0
best_combined_paper_safe,1200,0.048388162834,0.0007643898306999991,2700,20,40,1.0
best_new_combined_paper_safe,1200,0.048388162834,0.0007643898306999991,2700,20,40,1.0
adaptive_denominator_estimator,1200,0.048388162834,0.0007643898306999991,2700,20,40,1.0
plain_fixed_interval_mip,3600,0.048296011755,0.0008565409096999987,0,0,0,0.0
best_new_combined_paper_safe,3600,0.0487233640003,0.0004291886643999973,2700,20,40,1.0
plain_fixed_interval_mip,300,0.048894652654,0.0002579000107000018,0,0,0,0.0
best_new_combined_paper_safe,300,0.0489209015481,0.00023165111659999987,2700,20,40,3.0
plain_fixed_interval_mip,300,2.1614382751,0.2819649168399998,0,0,0,0.0
best_new_combined_paper_safe,300,2.27669085412,0.16671233781999995,2700,20,40,0.0
plain_fixed_interval_mip,300,0.31231711932,0.28838731736499995,0,0,0,0.0
best_new_combined_paper_safe,300,0.517898731718,0.0828057049669999,2700,20,40,0.0
plain_fixed_interval_mip,300,0.14433282147,0.05130338507899998,0,0,0,0.0
best_new_combined_paper_safe,300,0.14256670012,0.05306950642899999,2700,20,40,0.0
