selected_for_summary,row_certificate_source_class,certified_original_problem,leaf_solver_row,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,compact_bc_diagnostic_only,paper_certificate_contamination,file
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_plain_fixed_interval_mip_60s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_plain_fixed_interval_mip_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_static_tailored_compact_bc_60s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_static_tailored_compact_bc_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_combined_paper_safe_60s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_combined_paper_safe_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_new_combined_paper_safe_60s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_new_combined_paper_safe_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_denominator_estimator_60s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_denominator_estimator_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_low_gini_centering_60s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_low_gini_centering_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_transfer_inventory_60s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_transfer_inventory_300s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_plain_fixed_interval_mip_1200s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_combined_paper_safe_1200s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_new_combined_paper_safe_1200s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_denominator_estimator_1200s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_plain_fixed_interval_mip_3600s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_new_combined_paper_safe_3600s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_2_plain_fixed_interval_mip_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_2_best_new_combined_paper_safe_300s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.json
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\moderate_seed3302_hard_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_new_combined_paper_safe_60s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_new_combined_paper_safe_60s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_new_combined_paper_safe_60s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_new_combined_paper_safe_60s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b0_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b1_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b2_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b3_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b4_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b5_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b6_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K8_b7_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b0_low_gini_1_best_new_combined_paper_safe_300s.json
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_adaptive_s_refinement_round\raw\s_bucket_paper-safe_uniform_K16_b1_low_gini_1_best_new_combined_paper_safe_300s.json
