parent_leaf,bucket_count,bucket_id,S_L,S_U,sp_mccormick_rows,bucket_specific_box_enforced,paper_safe,audit_passed
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
low_gini_1,8,0,3.24074074074,6.5794208144225,4,True,True,True
low_gini_1,8,1,6.5794208144225,9.918100888105,4,True,True,True
low_gini_1,8,2,9.918100888105,13.256780961787499,4,True,True,True
low_gini_1,8,3,13.256780961787499,16.59546103547,4,True,True,True
low_gini_1,8,4,16.59546103547,19.9341411091525,4,True,True,True
low_gini_1,8,5,19.9341411091525,23.272821182835,4,True,True,True
low_gini_1,8,6,23.272821182835,26.6115012565175,4,True,True,True
low_gini_1,8,7,26.6115012565175,29.9501813302,4,True,True,True
low_gini_1,16,0,3.24074074074,4.91008077758125,4,True,True,True
low_gini_1,16,1,4.91008077758125,6.5794208144225,4,True,True,True
low_gini_1,16,2,6.5794208144225,8.24876085126375,4,True,True,True
low_gini_1,16,3,8.24876085126375,9.918100888105,4,True,True,True
low_gini_1,16,4,9.918100888105,11.587440924946248,4,True,True,True
low_gini_1,16,5,11.587440924946248,13.256780961787499,4,True,True,True
low_gini_1,16,6,13.256780961787499,14.926120998628749,4,True,True,True
low_gini_1,16,7,14.926120998628749,16.59546103547,4,True,True,True
low_gini_1,16,8,16.59546103547,18.26480107231125,4,True,True,True
low_gini_1,16,9,18.26480107231125,19.9341411091525,4,True,True,True
low_gini_1,16,10,19.9341411091525,21.60348114599375,4,True,True,True
low_gini_1,16,11,21.60348114599375,23.272821182835,4,True,True,True
low_gini_1,16,12,23.272821182835,24.94216121967625,4,True,True,True
low_gini_1,16,13,24.94216121967625,26.6115012565175,4,True,True,True
low_gini_1,16,14,26.6115012565175,28.28084129335875,4,True,True,True
low_gini_1,16,15,28.28084129335875,29.9501813302,4,True,True,True
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
low_gini_1,6,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,6,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,6,2,16.59546103547,18.26480107231125,4,True,True,True
low_gini_1,6,3,18.26480107231125,19.9341411091525,4,True,True,True
low_gini_1,6,4,19.9341411091525,23.272821182835,4,True,True,True
low_gini_1,6,5,23.272821182835,29.9501813302,4,True,True,True
