leaf,variant,budget_seconds,command_hash,lp_hash,model_lp_exists,compact_bc_solver_threads,thread_fairness_class,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,7bd4b0dc367af594,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,300,cb82c144d01327d3,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,60,efd2d56885158ca8,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,300,c57860a7f31b06ca,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,60,53c594f1c3d2cfab,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,300,9f90b8b700a68c51,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,60,3e0a20a5680cd472,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,300,de7710c5b4532fd9,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_denominator_estimator,60,aefd35d8f3275240,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_denominator_estimator,300,b8c0873032f43797,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_low_gini_centering,60,89b3e0e81891609c,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_low_gini_centering,300,aa2a6f81227aa202,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_transfer_inventory,60,60849558e5e8ebaf,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_transfer_inventory,300,e83b396a18f033d0,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,1200,0db6bbd689bd56ab,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,1200,7f179bf73150d080,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,1200,502ed8effb255f9e,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,adaptive_denominator_estimator,1200,d0fd5991c26c622e,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,3600,0f21e74ec417584c,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,3600,7075b9e36bdd8c3a,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_2,plain_fixed_interval_mip,300,c4c438909a9e077d,df7f1aa859c8801c,True,0,one_thread_fair,True,
low_gini_2,best_new_combined_paper_safe,300,bef9adf412df7945,c170e370e54aef39,True,1,one_thread_fair,True,
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,8c14e5f24e9aa953,3ce64ca6b5d3730d,True,0,one_thread_fair,True,
high_imbalance_seed3201_hard,best_new_combined_paper_safe,300,03316dc1de740510,7f6156a157f94aa1,True,1,one_thread_fair,True,
tight_T_seed3102_hard,plain_fixed_interval_mip,300,e1273f82c44cda72,acf35ccda4df7df5,True,0,one_thread_fair,True,
tight_T_seed3102_hard,best_new_combined_paper_safe,300,da3941f2bc90fdbc,5be5f3c8320c592c,True,1,one_thread_fair,True,
moderate_seed3302_hard,plain_fixed_interval_mip,300,4facbeb2e95bb331,814f939210f6d585,True,0,one_thread_fair,True,
moderate_seed3302_hard,best_new_combined_paper_safe,300,74d72dbb72926f7f,9849e51c2581e47a,True,1,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,60,c2120850c9f77b79,95cf398a52ee795c,True,1,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,60,7640528f422511fc,b85172ccb5a5b271,True,1,one_thread_fair,True,
low_gini_1,best_new_combined_paper_safe,60,363c458570425e0f,4e81b95595c879be,True,1,one_thread_fair,True,
