row,budget_seconds,runtime_seconds,last_valid_lb,last_gap_to_cutoff,node_count,plateau_status,notes
low_gini_1_best_new_combined_paper_safe_3600,3600,3601.8870003,0.0487233640003,0.0004291886643999973,86009,progress_but_not_closed,"Valid final bound preserved; not used as full-frontier certificate."
s_bucket_K4_bucket2_3600,3600,3601.8345625,0.0487820084447,0.0003705442199999978,131551,progress_but_not_closed,"Best paper-safe bucket LB in this round."
low_gini_1_plain_fixed_interval_mip_3600,3600,3600.3023853,0.048296011755,0.0008565409096999987,136571,benchmark_only,"Plain fixed-interval MIP benchmark only."
