leaf,variant,budget_seconds,finalization_source,best_valid_lb_seen,final_lower_bound,checkpoint_only_used_for_closure,audit_passed
low_gini_1,plain_fixed_interval_mip,60,solver_final_json,0.044318362677,0.044318362677,False,True
low_gini_1,plain_fixed_interval_mip,300,solver_final_json,0.045482848644,0.045482848644,False,True
low_gini_1,static_tailored_compact_bc,60,cplex_time_limit_with_valid_best_bound,0.0460751920577,0.0460751920577,False,True
low_gini_1,static_tailored_compact_bc,300,cplex_time_limit_with_valid_best_bound,0.0483291997208,0.0483291997208,False,True
low_gini_1,best_combined_paper_safe,60,cplex_time_limit_with_valid_best_bound,0.0453679738658,0.0453679738658,False,True
low_gini_1,best_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.0476339655828,0.0476339655828,False,True
low_gini_1,best_new_combined_paper_safe,60,cplex_time_limit_with_valid_best_bound,0.0454067389637,0.0454067389637,False,True
low_gini_1,best_new_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.0476256837823,0.0476256837823,False,True
low_gini_1,adaptive_denominator_estimator,60,cplex_time_limit_with_valid_best_bound,0.0454438670364,0.0454438670364,False,True
low_gini_1,adaptive_denominator_estimator,300,cplex_time_limit_with_valid_best_bound,0.0476356289487,0.0476356289487,False,True
low_gini_1,adaptive_low_gini_centering,60,cplex_time_limit_with_valid_best_bound,0.0454438670364,0.0454438670364,False,True
low_gini_1,adaptive_low_gini_centering,300,cplex_time_limit_with_valid_best_bound,0.0476149931452,0.0476149931452,False,True
low_gini_1,adaptive_transfer_inventory,60,cplex_time_limit_with_valid_best_bound,0.0454217989606,0.0454217989606,False,True
low_gini_1,adaptive_transfer_inventory,300,cplex_time_limit_with_valid_best_bound,0.0476343748841,0.0476343748841,False,True
low_gini_1,plain_fixed_interval_mip,1200,solver_final_json,0.047531814383,0.047531814383,False,True
low_gini_1,best_combined_paper_safe,1200,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,False,True
low_gini_1,best_new_combined_paper_safe,1200,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,False,True
low_gini_1,adaptive_denominator_estimator,1200,cplex_time_limit_with_valid_best_bound,0.048388162834,0.048388162834,False,True
low_gini_1,plain_fixed_interval_mip,3600,solver_final_json,0.048296011755,0.048296011755,False,True
low_gini_1,best_new_combined_paper_safe,3600,cplex_time_limit_with_valid_best_bound,0.0487233640003,0.0487233640003,False,True
low_gini_2,plain_fixed_interval_mip,300,solver_final_json,0.048894652654,0.048894652654,False,True
low_gini_2,best_new_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.0489209015481,0.0489209015481,False,True
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,solver_final_json,2.1614382751,2.1614382751,False,True
high_imbalance_seed3201_hard,best_new_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,2.27669085412,2.27669085412,False,True
tight_T_seed3102_hard,plain_fixed_interval_mip,300,solver_final_json,0.31231711932,0.31231711932,False,True
tight_T_seed3102_hard,best_new_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.517898731718,0.517898731718,False,True
moderate_seed3302_hard,plain_fixed_interval_mip,300,solver_final_json,0.14433282147,0.14433282147,False,True
moderate_seed3302_hard,best_new_combined_paper_safe,300,cplex_time_limit_with_valid_best_bound,0.14256670012,0.14256670012,False,True
