bucket_count,bucket_id,bucket_policy,S_mid,S_width,LB,gap_to_cutoff,open_or_closed
4,0,uniform,6.5794208144225,6.677360147365,0.0491525526647,0.0,closed
4,1,uniform,13.256780961787499,6.677360147364999,0.0491525526647,0.0,closed
4,2,uniform,19.9341411091525,6.677360147365,0.0455127377348,0.0036398149298999954,open
4,3,uniform,26.6115012565175,6.677360147365,0.0491525526647,0.0,closed
4,0,uniform,6.5794208144225,6.677360147365,0.0491525526647,0.0,closed
4,1,uniform,13.256780961787499,6.677360147364999,0.0491525526647,0.0,closed
4,2,uniform,19.9341411091525,6.677360147365,0.0478666730616,0.0012858796030999972,open
4,3,uniform,26.6115012565175,6.677360147365,0.0491525526647,0.0,closed
8,0,uniform,4.91008077758125,3.3386800736824997,0.0491525526647,0.0,closed
8,1,uniform,8.24876085126375,3.3386800736825,0.0491525526647,0.0,closed
8,2,uniform,11.58744092494625,3.3386800736824984,0.0491525526647,0.0,closed
8,3,uniform,14.926120998628749,3.3386800736825,0.0491525526647,0.0,closed
8,4,uniform,18.26480107231125,3.3386800736825,0.048388162834,0.0007643898306999991,open
8,5,uniform,21.603481145993747,3.3386800736825,0.0491525526647,0.0,closed
8,6,uniform,24.94216121967625,3.3386800736825,0.0491525526647,0.0,closed
8,7,uniform,28.280841293358748,3.3386800736825,0.0491525526647,0.0,closed
16,0,uniform,4.075410759160625,1.6693400368412497,0.0491525526647,0.0,closed
16,1,uniform,5.744750796001875,1.66934003684125,0.0491525526647,0.0,closed
16,2,uniform,7.414090832843125,1.66934003684125,0.0491525526647,0.0,closed
16,3,uniform,9.083430869684374,1.66934003684125,0.0491525526647,0.0,closed
16,4,uniform,10.752770906525624,1.6693400368412483,0.0491525526647,0.0,closed
16,5,uniform,12.422110943366874,1.66934003684125,0.0491525526647,0.0,closed
16,6,uniform,14.091450980208123,1.66934003684125,0.0491525526647,0.0,closed
16,7,uniform,15.760791017049375,1.66934003684125,0.0491525526647,0.0,closed
16,8,uniform,17.430131053890626,1.6693400368412519,0.0491525526647,0.0,closed
16,9,uniform,19.099471090731875,1.6693400368412483,0.0483418936082,0.0008106590564999974,open
16,10,uniform,20.768811127573123,1.6693400368412519,0.0491525526647,0.0,closed
16,11,uniform,22.438151164414375,1.6693400368412483,0.0491525526647,0.0,closed
16,12,uniform,24.107491201255627,1.6693400368412519,0.0491525526647,0.0,closed
16,13,uniform,25.776831238096875,1.6693400368412483,0.0491525526647,0.0,closed
16,14,uniform,27.446171274938123,1.6693400368412519,0.0491525526647,0.0,closed
16,15,uniform,29.115511311779375,1.6693400368412483,0.0491525526647,0.0,closed
4,0,uniform,6.5794208144225,6.677360147365,0.0491525526647,0.0,closed
4,1,uniform,13.256780961787499,6.677360147364999,0.0491525526647,0.0,closed
4,2,uniform,19.9341411091525,6.677360147365,0.0487233640003,0.0004291886643999973,open
4,3,uniform,26.6115012565175,6.677360147365,0.0491525526647,0.0,closed
4,0,uniform,6.5794208144225,6.677360147365,0.0491525526647,0.0,closed
4,1,uniform,13.256780961787499,6.677360147364999,0.0491525526647,0.0,closed
4,2,uniform,19.9341411091525,6.677360147365,0.0487820084447,0.0003705442199999978,open
4,3,uniform,26.6115012565175,6.677360147365,0.0491525526647,0.0,closed
6,0,adaptive-open,6.5794208144225,6.677360147365,0.0491525526647,0.0,closed
6,1,adaptive-open,13.256780961787499,6.677360147364999,0.0491525526647,0.0,closed
6,2,adaptive-open,17.430131053890626,1.6693400368412519,0.0491525526647,0.0,closed
6,3,adaptive-open,19.099471090731875,1.6693400368412483,0.0483268397794,0.0008257128852999993,open
6,4,adaptive-open,21.603481145993747,3.3386800736825,0.0491525526647,0.0,closed
6,5,adaptive-open,26.6115012565175,6.677360147365,0.0491525526647,0.0,closed
