leaf,variant,budget_seconds,json_path,command_hash
low_gini_1,plain_fixed_interval_mip,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_plain_fixed_interval_mip_60s.json,7bd4b0dc367af594
low_gini_1,plain_fixed_interval_mip,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_plain_fixed_interval_mip_300s.json,cb82c144d01327d3
low_gini_1,static_tailored_compact_bc,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_static_tailored_compact_bc_60s.json,efd2d56885158ca8
low_gini_1,static_tailored_compact_bc,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_static_tailored_compact_bc_300s.json,c57860a7f31b06ca
low_gini_1,best_combined_paper_safe,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_combined_paper_safe_60s.json,53c594f1c3d2cfab
low_gini_1,best_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_combined_paper_safe_300s.json,9f90b8b700a68c51
low_gini_1,best_new_combined_paper_safe,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_new_combined_paper_safe_60s.json,3e0a20a5680cd472
low_gini_1,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_best_new_combined_paper_safe_300s.json,de7710c5b4532fd9
low_gini_1,adaptive_denominator_estimator,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_denominator_estimator_60s.json,aefd35d8f3275240
low_gini_1,adaptive_denominator_estimator,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_denominator_estimator_300s.json,b8c0873032f43797
low_gini_1,adaptive_low_gini_centering,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_low_gini_centering_60s.json,89b3e0e81891609c
low_gini_1,adaptive_low_gini_centering,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_low_gini_centering_300s.json,aa2a6f81227aa202
low_gini_1,adaptive_transfer_inventory,60,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_transfer_inventory_60s.json,60849558e5e8ebaf
low_gini_1,adaptive_transfer_inventory,300,results\gf_tailored_bc_adaptive_s_refinement_round\raw\low_gini_1_adaptive_transfer_inventory_300s.json,e83b396a18f033d0
