leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.22500000000000001,0,1.8398450646494322,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.22500000000000001,0.45000000000000001,0.22500000000000001,1.8026320879807949,replaced,1,1,0,1.6620205643447556,0,1,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L2,"",0,-1,0.45000000000000001,0.67500000000000004,0.45000000000000001,1.8175290097997552,replaced,1,1,0,1.8024093800843022,0,1,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L3,"",0,-1,0.67500000000000004,0.90000000000000002,0.67500000000000004,1.8398450646494322,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1.0,"L1",1,0,0.22500000000000001,0.33750000000000002,1.8026320879807949,1.8398450646494322,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.1,"L1",1,1,0.33750000000000002,0.45000000000000001,1.8026320879807949,1.8398450635368639,closed,1,1,0,1.7261384770921997,1,1,1,0,"native_terminal_mip_optimal","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound;native_terminal_mip_bound"
L2.0,"L2",1,0,0.45000000000000001,0.5625,1.8175290097997552,1.8198459964045894,replaced,1,1,0,1.8024093800843024,0,1,1,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound"
L2.1,"L2",1,1,0.5625,0.67500000000000004,1.8175290097997552,1.8398450646494322,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.0.0,"L2.0",2,0,0.45000000000000001,0.50624999999999998,1.8198459964045894,1e+100,empty,1,1,0,1.8024093800843024,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
L2.0.1,"L2.0",2,1,0.50624999999999998,0.5625,1.8198459964045894,1.8398450646494322,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
