run_id,native_best_bound,status
official__V12_M1__tailored_global_gini_tree__300s,0.357200266834,passed
official__V12_M2__tailored_global_gini_tree__300s,0.703613075391,passed
official__tight_T_seed3101__tailored_global_gini_tree__300s,0.0150576080861,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,1.61373075915,passed
official__moderate_seed3301__tailored_global_gini_tree__300s,0.045838195768,passed
official__moderate_seed3302__tailored_global_gini_tree__300s,0.139484771347,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,2.28427988087,passed
official__tight_T_seed3102__tailored_global_gini_tree__300s,0.507092992308,passed
official__V12_M1__tailored_global_gini_tree__900s,0.357200266834,passed
official__V12_M2__tailored_global_gini_tree__900s,0.718503866984,passed
official__tight_T_seed3101__tailored_global_gini_tree__900s,0.0167229253037,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__900s,1.6489829153,passed
official__moderate_seed3301__tailored_global_gini_tree__900s,0.046741716969,passed
official__moderate_seed3302__tailored_global_gini_tree__900s,0.139491026946,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__900s,2.28951780348,passed
official__tight_T_seed3102__tailored_global_gini_tree__900s,0.523302852878,passed
gate__V12_M1__global__presolve_on__30s,0.332626998621,passed
gate__V12_M2__global__presolve_on__30s,0.663171619562,passed
gate__moderate_seed3301__global__presolve_on__30s,0.0431086985171,passed
gate__tight_T_seed3102__global__presolve_on__30s,0.498315246415,passed
gate__V12_M1__global__presolve_off__30s,0.326569530452,passed
gate__V12_M2__global__presolve_off__30s,0.661618161516,passed
gate__moderate_seed3301__global__presolve_off__30s,0.0415076865287,passed
gate__tight_T_seed3102__global__presolve_off__30s,0.436458510002,passed
