sequence,run_order,run_id,start_time,end_time
1,1,gate__V12_M1__global__presolve_on__30s,2026-07-15T06:39:21+08:00,2026-07-15T06:39:51+08:00
2,2,gate__V12_M2__global__presolve_on__30s,2026-07-15T06:39:51+08:00,2026-07-15T06:40:22+08:00
3,3,gate__moderate_seed3301__global__presolve_on__30s,2026-07-15T06:40:22+08:00,2026-07-15T06:40:52+08:00
4,4,gate__tight_T_seed3102__global__presolve_on__30s,2026-07-15T06:40:53+08:00,2026-07-15T06:41:23+08:00
5,5,gate__V12_M1__global__presolve_off__30s,2026-07-15T06:41:23+08:00,2026-07-15T06:41:53+08:00
6,6,gate__V12_M2__global__presolve_off__30s,2026-07-15T06:41:53+08:00,2026-07-15T06:42:24+08:00
7,7,gate__moderate_seed3301__global__presolve_off__30s,2026-07-15T06:42:24+08:00,2026-07-15T06:42:54+08:00
8,8,gate__tight_T_seed3102__global__presolve_off__30s,2026-07-15T06:42:55+08:00,2026-07-15T06:43:25+08:00
9,9,official__V12_M1__plain_cplex__300s,2026-07-15T06:43:54+08:00,2026-07-15T06:46:56+08:00
10,10,official__V12_M1__tailored_legacy_scheduler_static__300s,2026-07-15T06:46:57+08:00,2026-07-15T06:52:00+08:00
11,11,official__V12_M1__tailored_controlling_scheduler_static__300s,2026-07-15T06:52:00+08:00,2026-07-15T06:53:51+08:00
12,12,official__V12_M1__tailored_global_gini_tree__300s,2026-07-15T06:53:51+08:00,2026-07-15T06:56:14+08:00
13,13,official__V12_M2__plain_cplex__300s,2026-07-15T06:56:14+08:00,2026-07-15T07:01:14+08:00
14,14,official__V12_M2__tailored_legacy_scheduler_static__300s,2026-07-15T07:01:15+08:00,2026-07-15T07:06:04+08:00
15,15,official__V12_M2__tailored_controlling_scheduler_static__300s,2026-07-15T07:06:05+08:00,2026-07-15T07:10:59+08:00
16,16,official__V12_M2__tailored_global_gini_tree__300s,2026-07-15T07:10:59+08:00,2026-07-15T07:16:00+08:00
17,17,official__tight_T_seed3101__plain_cplex__300s,2026-07-15T07:16:00+08:00,2026-07-15T07:21:00+08:00
18,18,official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,2026-07-15T07:21:01+08:00,2026-07-15T07:22:17+08:00
19,19,official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,2026-07-15T07:22:18+08:00,2026-07-15T07:27:12+08:00
20,20,official__tight_T_seed3101__tailored_global_gini_tree__300s,2026-07-15T07:27:12+08:00,2026-07-15T07:32:13+08:00
21,21,official__high_imbalance_seed3202__plain_cplex__300s,2026-07-15T07:32:13+08:00,2026-07-15T07:37:13+08:00
22,22,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,2026-07-15T07:37:14+08:00,2026-07-15T07:42:26+08:00
23,23,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,2026-07-15T07:42:27+08:00,2026-07-15T07:47:21+08:00
24,24,official__high_imbalance_seed3202__tailored_global_gini_tree__300s,2026-07-15T07:47:21+08:00,2026-07-15T07:52:22+08:00
25,25,official__moderate_seed3301__plain_cplex__300s,2026-07-15T07:52:22+08:00,2026-07-15T07:57:22+08:00
26,26,official__moderate_seed3301__tailored_legacy_scheduler_static__300s,2026-07-15T07:57:23+08:00,2026-07-15T08:02:24+08:00
27,27,official__moderate_seed3301__tailored_controlling_scheduler_static__300s,2026-07-15T08:02:24+08:00,2026-07-15T08:07:18+08:00
28,28,official__moderate_seed3301__tailored_global_gini_tree__300s,2026-07-15T08:07:19+08:00,2026-07-15T08:12:19+08:00
29,29,official__moderate_seed3302__plain_cplex__300s,2026-07-15T08:12:19+08:00,2026-07-15T08:17:20+08:00
30,30,official__moderate_seed3302__tailored_legacy_scheduler_static__300s,2026-07-15T08:17:20+08:00,2026-07-15T08:22:20+08:00
31,31,official__moderate_seed3302__tailored_controlling_scheduler_static__300s,2026-07-15T08:22:21+08:00,2026-07-15T08:27:15+08:00
32,32,official__moderate_seed3302__tailored_global_gini_tree__300s,2026-07-15T08:27:15+08:00,2026-07-15T08:32:16+08:00
33,33,official__high_imbalance_seed3201__plain_cplex__300s,2026-07-15T08:32:16+08:00,2026-07-15T08:37:16+08:00
34,34,official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,2026-07-15T08:37:17+08:00,2026-07-15T08:42:28+08:00
35,35,official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,2026-07-15T08:42:28+08:00,2026-07-15T08:47:22+08:00
36,36,official__high_imbalance_seed3201__tailored_global_gini_tree__300s,2026-07-15T08:47:23+08:00,2026-07-15T08:52:23+08:00
37,37,official__tight_T_seed3102__plain_cplex__300s,2026-07-15T08:52:23+08:00,2026-07-15T08:57:24+08:00
