family,scope,implemented,attachment,status
inventory_conservation,global,True,root,passed
movement_reachability_domains,global,True,root,passed
visit_inventory_linking,global,True,root,passed
global_handling_capacity,global,True,root,passed
support_duration,global,True,root,passed
transfer_compat,global,True,root,passed
direct_gini_cap_floor,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
interval_tight_mccormick,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
objective_estimator_cutoff,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
penalty_lb_closure,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
gini_spread,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
required_movement,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
low_gini_centering,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
variable_s_centering,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
sp_product_estimator,interval_local,True,forced_local_user_cut_first_child_relaxation,passed
