feature,requested,effective,reason,status
presolve,on,on,presolve gate,enabled
search,traditional,traditional,dynamic sibling-loss reproduction,restricted
heuristics,CPLEX default,CPLEX default,no disable,enabled
probing,CPLEX default,CPLEX default,no disable,enabled
native cuts,CPLEX default,CPLEX default,no disable,enabled
