run_id,source_type,passed,reason
official__V12_M1__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__V12_M1__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__V12_M1__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__V12_M1__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__V12_M2__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__V12_M2__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__V12_M2__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__V12_M2__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3202__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3301__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3301__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3301__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3302__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3302__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__moderate_seed3302__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3201__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3102__plain_cplex__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3102__tailored_global_gini_tree__300s,same_run_verified_incumbent,True,same-run source
official__V12_M1__plain_cplex__900s,same_run_verified_incumbent,True,same-run source
official__V12_M1__tailored_legacy_scheduler_static__900s,same_run_verified_incumbent,True,same-run source
official__V12_M1__tailored_controlling_scheduler_static__900s,same_run_verified_incumbent,True,same-run source
official__V12_M1__tailored_global_gini_tree__900s,same_run_verified_incumbent,True,same-run source
official__V12_M2__plain_cplex__900s,same_run_verified_incumbent,True,same-run source
official__V12_M2__tailored_legacy_scheduler_static__900s,same_run_verified_incumbent,True,same-run source
official__V12_M2__tailored_controlling_scheduler_static__900s,same_run_verified_incumbent,True,same-run source
official__V12_M2__tailored_global_gini_tree__900s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__plain_cplex__900s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,same_run_verified_incumbent,True,same-run source
official__tight_T_seed3101__tailored_global_gini_tree__900s,same_run_verified_incumbent,True,same-run source
official__high_imbalance_seed3202__plain_cplex__900s,same_run_verified_incumbent,True,same-run source
